row_label_raw,row_label_full,Số đầu năm > Vay trong năm,Năm nay > 684.062.427.981 > 2.800.782.740.645,VNDNăm trước > 438.613.908.787 > 738.753.924.445,numeric__Năm nay > 684.062.427.981 > 2.800.782.740.645,numeric__VNDNăm trước > 438.613.908.787 > 738.753.924.445
Trả nợ gốc vay,Trả nợ gốc vay,Trả nợ gốc vay,(934.198.469.204),(493.305.405.251),-934198469204.0,-493305405251.0
Chỉ phí phát hành trái phiếu,Chỉ phí phát hành trái phiếu,Chỉ phí phát hành trái phiếu,(22.504.545.454),-,-22504545454.0,
Phân bổ chỉ phí phát hành trái phiếu,Phân bổ chỉ phí phát hành trái phiếu,Phân bổ chỉ phí phát hành trái phiếu,1.262.500.000,-,1262500000.0,
Số cuối năm,Số cuối năm,Số cuối năm,2.529.404.653.968,684.062.427.981,2529404653968.0,684062427981.0
