row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,1.172.635.700.000,10.867.980.806,(580.000.000),18.884.676.055,382.014.359.398,1.583.822.716.259,1172635700000.0,10867980806.0,-580000000.0,18884676055.0,382014359398.0,1583822716259.0
Phát hành mới,Năm trước > Phát hành mới,Phát hành mới,1.172.055.700.000,-,-,-,-,1.172.055.700.000,1172055700000.0,,,,,1172055700000.0
Cổ tức bằng cổ phiếu,Năm trước > Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,175.799.280.000,-,-,-,(175.799.280.000),-,175799280000.0,,,,-175799280000.0,
Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,,,,,,,,,,,,
Chương trình lựa chọn cho người lao động,Phát hành cổ phiếu theo > Chương trình lựa chọn cho người lao động,Chương trình lựa chọn cho người lao động,10.000.000.000,-,-,-,(10.000.000.000),-,10000000000.0,,,,-10000000000.0,
Lợi nhuận thuần trong năm,Phát hành cổ phiếu theo > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,537.203.531.050,537.203.531.050,,,,,537203531050.0,537203531050.0
Trích quỹ đầu tư phát triển,Phát hành cổ phiếu theo > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,8.266.981.104,(8.266.981.104),-,,,,8266981104.0,-8266981104.0,
"Trích quỹ khen thưởng, phúc lợi","Phát hành cổ phiếu theo > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,,(48.341.935.649),(48.341.935.649),,,,,-48341935649.0,-48341935649.0
Khác,Phát hành cổ phiếu theo > Khác,Khác,-,-,-,-,(62.442.326),(62.442.326),,,,,-62442326.0,-62442326.0
Số dư cuối năm,Phát hành cổ phiếu theo > Số dư cuối năm,Số dư cuối năm,2.530.490.680.000,10.867.980.806,(580.000.000),27.151.657.159,676.747.251.369,3.244.677.569.334,2530490680000.0,10867980806.0,-580000000.0,27151657159.0,676747251369.0,3244677569334.0
