row_label_raw,row_label_full,Số dư đầu năm > Phần lợi nhuận từ các công ty liên kết trong năm,151.344.627.698 > 128.011.407.685,numeric__151.344.627.698 > 128.011.407.685
Giảm do thanh lý khoản đầu tư,Giảm do thanh lý khoản đầu tư,Giảm do thanh lý khoản đầu tư,(261.234.016),-261234016.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,279.094.801.367,279094801367.0
