row_label_raw,row_label_full,col_0,Thuyết minh,Tỷ lệ vốn góp,Số cuối năm > Số cổ phiếu,Số cuối năm > Giá trị ghi số (VND),Số đầu năm > Số cổ phiếu,Số đầu năm > Giá trị ghi số (VND),numeric__Thuyết minh,numeric__Tỷ lệ vốn góp,numeric__Số cuối năm > Số cổ phiếu,numeric__Số cuối năm > Giá trị ghi số (VND),numeric__Số đầu năm > Số cổ phiếu,numeric__Số đầu năm > Giá trị ghi số (VND)
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,(i),"21,48%",31.793.846,582.461.891.074,31.793.846,582.461.891.074,,0.2148,31793846.0,582461891074.0,31793846.0,582461891074.0
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,(ii),"35,35%",12.000.000,120.000.000.000,12.000.000,120.000.000.000,,0.35350000000000004,12000000.0,120000000000.0,12000000.0,120000000000.0
Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng,(iii),"48,00%",9.600.000,96.000.000.000,9.600.000,96.000.000.000,,0.48,9600000.0,96000000000.0,9600000.0,96000000000.0
Công ty Cổ phần Scanviwood,Công ty Cổ phần Scanviwood,Công ty Cổ phần Scanviwood,(iv),"34,00%",1.077.528,7.204.600.000,1.077.528,7.204.600.000,,0.34,1077528.0,7204600000.0,1077528.0,7204600000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,,805.666.491.074,,805.666.491.074,,,,805666491074.0,,805666491074.0
Dự phòng giảm giá đầu tư vào công ty liên kết,Dự phòng giảm giá đầu tư vào công ty liên kết,Dự phòng giảm giá đầu tư vào công ty liên kết,,,,(230.396.031.274),,(106.400.031.874),,,,-230396031274.0,,-106400031874.0
GIÁ TRI THUÀN,GIÁ TRI THUÀN,GIÁ TRI THUÀN,,,,575.270.459.800,,699.266.459.200,,,,575270459800.0,,699266459200.0
