row_label_raw,row_label_full,Bên liên quan > Vay ngắn hạn (Thuyết minh số 20),Nội dung nghiệp vụ > Vay ngắn hạn (Thuyết minh số 20),Số cuối năm > Vay ngắn hạn (Thuyết minh số 20),Đơn vị tính: VND Số đầu năm > Vay ngắn hạn (Thuyết minh số 20),numeric__Nội dung nghiệp vụ > Vay ngắn hạn (Thuyết minh số 20),numeric__Số cuối năm > Vay ngắn hạn (Thuyết minh số 20),numeric__Đơn vị tính: VND Số đầu năm > Vay ngắn hạn (Thuyết minh số 20)
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang (i),Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang (i),Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang (i),Vay ngắn hạn,300.000.000.000,849.663.636.364,,300000000000.0,849663636364.0
Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên (ii),Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên (ii),Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên (ii),Vay ngắn hạn,550.000.000.000,180.000.000.000,,550000000000.0,180000000000.0
Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập (iii),Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập (iii),Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập (iii),Vay ngắn hạn,110.000.000.000,110.000.000.000,,110000000000.0,110000000000.0
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn (iv),Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn (iv),Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn (iv),Vay ngắn hạn,30.000.000.000,30.000.000.000,,30000000000.0,30000000000.0
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Vay ngắn hạn,-,73.216.304.162,,,73216304162.0
,,,,990.000.000.000,1.242.879.940.526,,990000000000.0,1242879940526.0
Vay dài hạn (Thuyết minh số 20),Vay dài hạn (Thuyết minh số 20),Vay dài hạn (Thuyết minh số 20),Vay dài hạn (Thuyết minh số 20),Vay dài hạn (Thuyết minh số 20),Vay dài hạn (Thuyết minh số 20),,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang (vi),Vay dài hạn (Thuyết minh số 20) > Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang (vi),Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang (vi),Vay dài hạn,3.976.872.636.364,725.000.000.000,,3976872636364.0,725000000000.0
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng (vii),Vay dài hạn (Thuyết minh số 20) > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng (vii),Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng (vii),Vay dài hạn,2.346.154.812.985,-,,2346154812985.0,
Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Vay dài hạn (Thuyết minh số 20) > Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Vay dài hạn,-,450.000.000.000,,,450000000000.0
Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát,Vay dài hạn (Thuyết minh số 20) > Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát,Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát,Vay dài hạn,-,284.000.000.000,,,284000000000.0
,,,,6.323.027.449.349,1.459.000.000.000,,6323027449349.0,1459000000000.0
