row_label_raw,row_label_full,STT,Tên công ty,Tỷ lệ biểu quyết (%),Tỷ lệ lợi ích (%),Trụ sở chính,Hoạt động chính trong năm,numeric__Tên công ty,numeric__Tỷ lệ biểu quyết (%),numeric__Tỷ lệ lợi ích (%),numeric__Trụ sở chính,numeric__Hoạt động chính trong năm
I- Nhóm các công ty con sở hữu trực tiếp (tiếp theo),I- Nhóm các công ty con sở hữu trực tiếp (tiếp theo),I- Nhóm các công ty con sở hữu trực tiếp (tiếp theo),I- Nhóm các công ty con sở hữu trực tiếp (tiếp theo),I- Nhóm các công ty con sở hữu trực tiếp (tiếp theo),I- Nhóm các công ty con sở hữu trực tiếp (tiếp theo),I- Nhóm các công ty con sở hữu trực tiếp (tiếp theo),I- Nhóm các công ty con sở hữu trực tiếp (tiếp theo),,,,,
6,I- Nhóm các công ty con sở hữu trực tiếp (tiếp theo) > 6,6,Công ty TNHH MTV Kinh doanh Văn phòng và Nhà xưởng Kinh Bắc,100,100,"Lô B7, khu công nghiệp Quế Võ, phường Phương Liễu, thị xã Quế Võ, tỉnh Bắc Ninh, Việt Nam","Đầu tư, xây dựng và kinh doanh bất động sản",,100.0,100.0,,
7,I- Nhóm các công ty con sở hữu trực tiếp (tiếp theo) > 7,7,Công ty Cổ phần Phát triển Đô thị Tiến Dương,51,51,"Số 100 phố An Trạch, phường Cát Linh, quận Đồng Đa, thành phố Hà Nội, Việt Nam","Đầu tư, xây dựng và kinh doanh bất động sản",,51.0,51.0,,
8,I- Nhóm các công ty con sở hữu trực tiếp (tiếp theo) > 8,8,Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,95,"93,93","Số 210 đường Nguyễn Văn Linh, xã Bảo Khê, thành phố Hưng Yên, tỉnh Hưng Yên, Việt Nam",Xây dựng và kinh doanh bất động sản,,95.0,93.93,,
9,I- Nhóm các công ty con sở hữu trực tiếp (tiếp theo) > 9,9,Công ty Cổ phần Tập đoàn Đầu tư Vũng Tàu,"74,52","74,52","LK 28 đường Hàng Điều 1, phường 10, thành phố Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu",Xây dựng và kinh doanh bất động sản,,74.52,74.52,,
II- Nhóm các công ty con sở hữu gián tiếp,II- Nhóm các công ty con sở hữu gián tiếp,II- Nhóm các công ty con sở hữu gián tiếp,II- Nhóm các công ty con sở hữu gián tiếp,II- Nhóm các công ty con sở hữu gián tiếp,II- Nhóm các công ty con sở hữu gián tiếp,II- Nhóm các công ty con sở hữu gián tiếp,II- Nhóm các công ty con sở hữu gián tiếp,,,,,
1,II- Nhóm các công ty con sở hữu gián tiếp > 1,1,Công ty TNHH MTV Khu Công nghiệp Tân Phú Trung - Long An,100,"72,82","88 Trần Phong Sắc, phường 4, thành phố Tân An, tỉnh Long An, Việt Nam",Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan,,100.0,72.82,,
2,II- Nhóm các công ty con sở hữu gián tiếp > 2,2,Công ty TNHH MTV Khu công nghiệp Bắc Giang - Long An,100,"88,96","Số 133 đường 835, thị trấn Cần Giuộc, huyện Cần Giuộc, tỉnh Long An, Việt Nam",Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan,,100.0,88.96,,
3,II- Nhóm các công ty con sở hữu gián tiếp > 3,3,Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập,100,"89,26","Số 133 đường 835, thị trấn Cần Giuộc, huyện Cần Giuộc, tỉnh Long An, Việt Nam",Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan,,100.0,89.26,,
4,II- Nhóm các công ty con sở hữu gián tiếp > 4,4,Công ty Cổ phần Đầu tư Phát triển Long An,60,"57,42","Áp Tân Đông, xã Tân Tập, huyện Cần Giuộc, tỉnh Long An, Việt Nam",Xây dựng và kinh doanh bất động sản,,60.0,57.42,,
5,II- Nhóm các công ty con sở hữu gián tiếp > 5,5,Công ty Cổ phần Công viên Tâm Linh Bảo Lạc,65,"58,02","Thôn Ngô Xá, xã Long Châu, huyện Yên Phong, tỉnh Bắc Ninh, Việt Nam",Hoạt động dịch vụ phục vụ tang lễ,,65.0,58.02,,
6,II- Nhóm các công ty con sở hữu gián tiếp > 6,6,Công ty TNHH Điện tử Quảng Yên,100,"89,26","Lô NA8-2, khu tổ hợp dự án nhà máy, nhà xưởng cao cấp khu Đẩm Nhà Mạc, xã Liên Vị, thị xã Quảng Yên, tỉnh Quảng Ninh, Việt Nam",Sản xuất linh kiện điện tử,,100.0,89.26,,
7,II- Nhóm các công ty con sở hữu gián tiếp > 7,7,Công ty TNHH Công nghiệp Chế tạo Quảng Yên,100,"89,26","Lô NA8-1, khu tổ hợp dự án nhà máy, nhà xưởng cao cấp khu Đẩm Nhà Mạc, xã Liên Vị, thị xã Quảng Yên, tỉnh Quảng Ninh, Việt Nam",Sản xuất vòi phun động cơ máy nông nghiệp,,100.0,89.26,,
