row_label_raw,row_label_full,Năm trước: > Số đầu năm,Vốn cổ phần đã góp > Năm trước: > 5.757.111.670.000,Thặng dư vốn cổ phần > Năm trước: > 3.396.813.430.000,Cổ phiếu quỹ > Năm trước: > (364.466.650.000),Quỹ đầu tư phát triển > Năm trước: > 2.223.693.823,Lợi nhuận sau thuế chưa phân phối > Năm trước: > 1.733.711.082.422,Đơn vị tính: VND Tổng cộng > Năm trước: > 10.525.393.226.245,numeric__Vốn cổ phần đã góp > Năm trước: > 5.757.111.670.000,numeric__Thặng dư vốn cổ phần > Năm trước: > 3.396.813.430.000,numeric__Cổ phiếu quỹ > Năm trước: > (364.466.650.000),numeric__Quỹ đầu tư phát triển > Năm trước: > 2.223.693.823,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước: > 1.733.711.082.422,numeric__Đơn vị tính: VND Tổng cộng > Năm trước: > 10.525.393.226.245
Tăng vốn cổ phần từ nguồn vốn chủ sở hữu,Tăng vốn cổ phần từ nguồn vốn chủ sở hữu,Tăng vốn cổ phần từ nguồn vốn chủ sở hữu,1.918.935.920.000,(624.066.780.000),-,-,(1.294.869.140.000),-,1918935920000.0,-624066780000.0,,,-1294869140000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,610.746.429.457,610.746.429.457,,,,,610746429457.0,610746429457.0
Phát hành cổ phiếu quỹ,Phát hành cổ phiếu quỹ,Phát hành cổ phiếu quỹ,-,(29.748.080.000),364.466.650.000,-,-,334.718.570.000,,-29748080000.0,364466650000.0,,,334718570000.0
Số cuối năm,Số cuối năm,Số cuối năm,7.676.047.590.000,2.742.998.570.000,-,2.223.693.823,1.049.588.371.879,11.470.858.225.702,7676047590000.0,2742998570000.0,,2223693823.0,1049588371879.0,11470858225702.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,7.676.047.590.000,2.742.998.570.000,-,2.223.693.823,1.049.588.371.879,11.470.858.225.702,7676047590000.0,2742998570000.0,,2223693823.0,1049588371879.0,11470858225702.0
Lợi nhuận thuần trong năm,Năm nay: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,923.601.920.604,923.601.920.604,,,,,923601920604.0,923601920604.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,7.676.047.590.000,2.742.998.570.000,-,2.223.693.823,1.973.190.292.483,12.394.460.146.306,7676047590000.0,2742998570000.0,,2223693823.0,1973190292483.0,12394460146306.0
