row_label_raw,row_label_full,col_0,Don vị tính: VND,Don vị tính: VND_1,numeric__Don vị tính: VND,numeric__Don vị tính: VND_1
,,,Năm nay,Năm trước,,
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,,,
Phí dịch vụ tư vấn,Chi phí bán hàng > Phí dịch vụ tư vấn,Phí dịch vụ tư vấn,158.303.908.611,-,158303908611.0,
Chi phí nhân viên bán hàng,Chi phí bán hàng > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,9.813.600.238,4.549.245.000,9813600238.0,4549245000.0
Chi phí bán hàng khác,Chi phí bán hàng > Chi phí bán hàng khác,Chi phí bán hàng khác,2.359.770.222,1.930.949.840,2359770222.0,1930949840.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,170.477.279.071,6.480.194.840,170477279071.0,6480194840.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,
Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,82.740.892.097,57.902.238.475,82740892097.0,57902238475.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,48.015.514.706,36.959.903.118,48015514706.0,36959903118.0
Chi phí tài trợ,Chi phí quản lý doanh nghiệp > Chi phí tài trợ,Chi phí tài trợ,31.361.553.640,25.643.900.300,31361553640.0,25643900300.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,11.739.564.371,9.274.700.095,11739564371.0,9274700095.0
Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp khác,18.669.512.517,23.257.103.214,18669512517.0,23257103214.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,192.527.037.331,153.037.845.202,192527037331.0,153037845202.0
