row_label_raw,row_label_full,Bên liên quan > Chi phí phải trả ngắn hạn (Thuyết minh số 18),Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 18),Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 18),Đơn vị tính: VND Số đầu năm > Chi phí phải trả ngắn hạn (Thuyết minh số 18),numeric__Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 18),numeric__Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 18),numeric__Đơn vị tính: VND Số đầu năm > Chi phí phải trả ngắn hạn (Thuyết minh số 18)
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Lãi vay phải trả ngắn hạn,109.314.812.860,9.143.342.465,,109314812860.0,9143342465.0
Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Lãi vay phải trả ngắn hạn,43.412.876.703,6.053.424.655,,43412876703.0,6053424655.0
Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập,Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập,Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập,Lãi vay phải trả ngắn hạn,8.516.712.329,716.054.795,,8516712329.0,716054795.0
Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Lãi vay phải trả ngắn hạn,553.879.723,517.879.723,,553879723.0,517879723.0
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Lãi vay phải trả ngắn hạn,-,37.414.553.416,,,37414553416.0
,,,,161.798.281.615,53.845.255.054,,161798281615.0,53845255054.0
Chi phí phải trả dài hạn (Thuyết minh số 18),Chi phí phải trả dài hạn (Thuyết minh số 18),Chi phí phải trả dài hạn (Thuyết minh số 18),Chi phí phải trả dài hạn (Thuyết minh số 18),Chi phí phải trả dài hạn (Thuyết minh số 18),Chi phí phải trả dài hạn (Thuyết minh số 18),,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Chi phí phải trả dài hạn (Thuyết minh số 18) > Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Lãi vay phải trả dài hạn,130.144.682.254,127.124.085.835,,130144682254.0,127124085835.0
Công ty Cổ phần Đầu tư Phát triển Long An,Chi phí phải trả dài hạn (Thuyết minh số 18) > Công ty Cổ phần Đầu tư Phát triển Long An,Công ty Cổ phần Đầu tư Phát triển Long An,Lãi vay phải trả dài hạn,1.920.821.918,1.920.821.918,,1920821918.0,1920821918.0
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Chi phí phải trả dài hạn (Thuyết minh số 18) > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Lãi vay phải trả dài hạn,26.497.819.628,-,,26497819628.0,
Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Chi phí phải trả dài hạn (Thuyết minh số 18) > Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Lãi vay phải trả dài hạn,-,369.863.014,,,369863014.0
Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát,Chi phí phải trả dài hạn (Thuyết minh số 18) > Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát,Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát,Lãi vay phải trả dài hạn,-,233.424.658,,,233424658.0
,,,,158.563.323.800,129.648.195.425,,158563323800.0,129648195425.0
Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Phải trả ngắn hạn khác (Thuyết minh số 19) > Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Phải trả khác,858.000.000,858.000.000,,858000000.0,858000000.0
,,,,858.000.000,858.000.000,,858000000.0,858000000.0
