row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,186.382.531.117,(800.000.000),185.582.531.117,,186382531117.0,-800000000.0,185582531117.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,408.054.913,17.957.770.881,(12.704.484.312),5.661.341.482,408054913.0,17957770881.0,-12704484312.0,5661341482.0
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,345.985.894,29.775.994.036,(29.784.866.819),337.113.111,345985894.0,29775994036.0,-29784866819.0,337113111.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,754.040.807,234.116.296.034,(43.289.351.131),191.580.985.710,754040807.0,234116296034.0,-43289351131.0,191580985710.0
,,,Số đầu năm,Số phải thu trong năm,Số cán trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,91.670.798.662,-,(4.735.721.461),86.935.077.201,91670798662.0,,-4735721461.0,86935077201.0
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,2.193.726.261,-,(2.193.726.261),-,2193726261.0,,-2193726261.0,
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,93.864.524.923,-,(6.929.447.722),86.935.077.201,93864524923.0,,-6929447722.0,86935077201.0
