row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm > DựGiá trị phòng,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Dự phòng,numeric__Số cuối năm,numeric__Số cuối năm > DựGiá trị phòng,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,48.266.899.234,-,31.435.457.265,-,48266899234.0,,31435457265.0,
Phải thu UBND tỉnh Bắc Ninh tiền hỗ trợ giá cho thuê lại đấtcó cơ sở hạ tầng (i),Ngắn hạn > Phải thu UBND tỉnh Bắc Ninh tiền hỗ trợ giá cho thuê lại đấtcó cơ sở hạ tầng (i),Phải thu UBND tỉnh Bắc Ninh tiền hỗ trợ giá cho thuê lại đấtcó cơ sở hạ tầng (i),19.440.000.000,-,19.440.000.000,-,19440000000.0,,19440000000.0,
Phải thu tiền đặt cọc (ii),Ngắn hạn > Phải thu tiền đặt cọc (ii),Phải thu tiền đặt cọc (ii),13.051.128.404,-,12.851.128.404,-,13051128404.0,,12851128404.0,
Ủy ban Nhân dân xã VânDương,Ngắn hạn > Ủy ban Nhân dân xã VânDương,Ủy ban Nhân dân xã VânDương,3.327.780.000,-,3.327.780.000,-,3327780000.0,,3327780000.0,
Ứng trước cho Ngân hàngThương mại Cổ phần Đạichứng Việt Nam,Ngắn hạn > Ứng trước cho Ngân hàngThương mại Cổ phần Đạichứng Việt Nam,Ứng trước cho Ngân hàngThương mại Cổ phần Đạichứng Việt Nam,-,-,242.049.763.870,-,,,242049763870.0,
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,44.703.508.323,-,35.576.402.254,-,44703508323.0,,35576402254.0,
Phải thu khác từ các bên liênquan (Thuyết minh số 28),Ngắn hạn > Phải thu khác từ các bên liênquan (Thuyết minh số 28),Phải thu khác từ các bên liênquan (Thuyết minh số 28),5.632.300.541.820,-,1.230.051.404.834,-,5632300541820.0,,1230051404834.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,5.761.089.857.781,-,1.574.731.936.627,-,5761089857781.0,,1574731936627.0,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Công ty Cổ phần Đầu tư LángHạ (iii),Dài hạn > Công ty Cổ phần Đầu tư LángHạ (iii),Công ty Cổ phần Đầu tư LángHạ (iii),394.419.327.038,-,175.151.127.545,-,394419327038.0,,175151127545.0,
Phải thu khác,Dài hạn > Phải thu khác,Phải thu khác,820.231.500,-,717.271.501,-,820231500.0,,717271501.0,
Phải thu khác từ các bên liênquan (Thuyết minh số 28),Dài hạn > Phải thu khác từ các bên liênquan (Thuyết minh số 28),Phải thu khác từ các bên liênquan (Thuyết minh số 28),-,-,1.189.098.109.589,-,,,1189098109589.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,395.239.558.538,-,1.364.966.508.635,-,395239558538.0,,1364966508635.0,
