row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND > Số cuối năm > Giá trị,Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND > Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 20.1),Vay ngắn hạn > Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 20.1),Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 20.1),10.000.000.000,10.000.000.000,15.000.000.000,(15.000.000.000),10.000.000.000,10.000.000.000,10000000000.0,10000000000.0,15000000000.0,-15000000000.0,10000000000.0,10000000000.0
Trái phiếu dài hạn đến hạn trả,Vay ngắn hạn > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,2.882.697.866.159,2.882.697.866.159,1.017.302.133.841,(3.900.000.000.000),-,-,2882697866159.0,2882697866159.0,1017302133841.0,-3900000000000.0,,
Vay đối tượng khác(Thuyết minh số 20.2),Vay ngắn hạn > Vay đối tượng khác(Thuyết minh số 20.2),Vay đối tượng khác(Thuyết minh số 20.2),50.000.000.000,50.000.000.000,-,-,50.000.000.000,50.000.000.000,50000000000.0,50000000000.0,,,50000000000.0,50000000000.0
Vay các bên liên quan(Thuyết minh số 28),Vay ngắn hạn > Vay các bên liên quan(Thuyết minh số 28),Vay các bên liên quan(Thuyết minh số 28),1.242.879.940.526,1.242.879.940.526,750.000.000.000,(1.002.879.940.526),990.000.000.000,990.000.000.000,1242879940526.0,1242879940526.0,750000000000.0,-1002879940526.0,990000000000.0,990000000000.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,4.185.577.806.685,4.185.577.806.685,1.782.302.133.841,(4.917.879.940.526),1.050.000.000.000,1.050.000.000.000,4185577806685.0,4185577806685.0,1782302133841.0,-4917879940526.0,1050000000000.0,1050000000000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 20.1),Vay dài hạn > Vay ngân hàng(Thuyết minh số 20.1),Vay ngân hàng(Thuyết minh số 20.1),180.639.280.820,180.639.280.820,78.019.267.425,(180.306.784.722),78.351.763.523,78.351.763.523,180639280820.0,180639280820.0,78019267425.0,-180306784722.0,78351763523.0,78351763523.0
Trái phiếu phát hành,Vay dài hạn > Trái phiếu phát hành,Trái phiếu phát hành,974.669.592.664,974.669.592.664,25.330.407.336,(1.000.000.000.000),-,-,974669592664.0,974669592664.0,25330407336.0,-1000000000000.0,,
Vay các bên liên quan(Thuyết minh số 28),Vay dài hạn > Vay các bên liên quan(Thuyết minh số 28),Vay các bên liên quan(Thuyết minh số 28),1.459.000.000.000,1.459.000.000.000,6.611.063.812.985,(1.747.036.363.636),6.323.027.449.349,6.323.027.449.349,1459000000000.0,1459000000000.0,6611063812985.0,-1747036363636.0,6323027449349.0,6323027449349.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,2.614.308.873.484,2.614.308.873.484,6.714.413.487.746,(2.927.343.148.358),6.401.379.212.872,6.401.379.212.872,2614308873484.0,2614308873484.0,6714413487746.0,-2927343148358.0,6401379212872.0,6401379212872.0
