row_label_raw,row_label_full,Công ty TNHH Phát triển Công nghiệp Nam Sơn Hạp Lĩnh,Số cuối năm > -,Đơn vị tính: VND > Số đầu năm > 313.236.000.000,numeric__Số cuối năm > -,numeric__Đơn vị tính: VND > Số đầu năm > 313.236.000.000
Người mua trả trước khác,Người mua trả trước khác,Người mua trả trước khác,5.959.776.997,4.921.610.323,5959776997.0,4921610323.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.959.776.997,318.157.610.323,5959776997.0,318157610323.0
