row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016,Quá hạn,Không kỳ hạn,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 đến 6 tháng,Từ trên 6 đến 12 tháng,Từ trên 1 đến 5 năm,Trên 5 năm,numeric__Quá hạn,numeric__Không kỳ hạn,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ trên 3 đến 6 tháng,numeric__Từ trên 6 đến 12 tháng,numeric__Từ trên 1 đến 5 năm,numeric__Trên 5 năm
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,,,,,,,,,,,,,,,,
▪ VND,Tiền gửi tại NHNNVN > ▪ VND,▪ VND,-,"0,96%",-,-,-,-,-,-,,0.0096,,,,,,
▪ Ngoại tệ,Tiền gửi tại NHNNVN > ▪ Ngoại tệ,▪ Ngoại tệ,-,"0,00%",-,-,-,-,-,-,,0.0,,,,,,
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,,,,,,,,,,,,,,,,
▪ VND,Tiền gửi và cho vay các tổ chức tín dụng khác > ▪ VND,▪ VND,-,-,"3,99%","4,63%",-,-,-,-,,,0.039900000000000005,0.0463,,,,
▪ Ngoại tệ,Tiền gửi và cho vay các tổ chức tín dụng khác > ▪ Ngoại tệ,▪ Ngoại tệ,-,-,"1,36%",-,-,-,-,-,,,0.013600000000000001,,,,,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,,,,,,,,,,,,,,,,
▪ VND,Cho vay khách hàng > ▪ VND,▪ VND,"20,17%",-,"11,04%","9,46%","10,54%","9,36%","7,10%","15,20%",0.20170000000000002,,0.1104,0.0946,0.1054,0.09359999999999999,0.071,0.152
▪ Ngoại tệ,Cho vay khách hàng > ▪ Ngoại tệ,▪ Ngoại tệ,"5,79%",-,"2,97%","3,36%","3,55%","2,90%",-,-,0.0579,,0.0297,0.0336,0.0355,0.028999999999999998,,
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,,,,,,,,,,,,,,,,
▪ VND,Chứng khoán đầu tư > ▪ VND,▪ VND,-,-,"9,93%",-,"8,83%","7,95%","6,92%","7,17%",,,0.0993,,0.0883,0.0795,0.0692,0.0717
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,,,,,,,,,,,,,,,,
▪ VND,Các khoản nợ NHNNVN > ▪ VND,▪ VND,-,-,"3,50%","3,50%","3,50%","3,50%",-,-,,,0.035,0.035,0.035,0.035,,
▪ Ngoại tệ,▪ Ngoại tệ,▪ Ngoại tệ,-,-,-,-,-,-,-,-,,,,,,,,
Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,,,,,,,,,,,,,,,,
▪ VND,Tiền gửi và vay các tổ chức tín dụng khác > ▪ VND,▪ VND,-,-,"4,34%","4,49%",-,-,"5,88%","5,88%",,,0.0434,0.0449,,,0.0588,0.0588
▪ Ngoại tệ,Tiền gửi và vay các tổ chức tín dụng khác > ▪ Ngoại tệ,▪ Ngoại tệ,-,-,"1,55%","1,70%",-,-,-,"0,75%",,,0.0155,0.017,,,,0.0075
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,,,,,,,,,,,,,,
▪ VND,Tiền gửi của khách hàng > ▪ VND,▪ VND,-,"0,95%","5,39%","6,14%","6,68%","7,10%","7,60%","5,10%",,0.0095,0.053899999999999997,0.061399999999999996,0.0668,0.071,0.076,0.051
▪ Ngoại tệ,Tiền gửi của khách hàng > ▪ Ngoại tệ,▪ Ngoại tệ,-,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",-,,0.0,0.0,0.0,0.0,0.0,0.0,
"Vốn tài trợ ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ ủy thác đầu tư, cho vay TCTD chịu rủi ro",,,,,,,,,,,,,,,,
▪ VND,"Vốn tài trợ ủy thác đầu tư, cho vay TCTD chịu rủi ro > ▪ VND",▪ VND,-,-,"4,40%","4,60%","4,92%","4,92%","4,92%","4,92%",,,0.044000000000000004,0.046,0.0492,0.0492,0.0492,0.0492
▪ Ngoại tệ,"Vốn tài trợ ủy thác đầu tư, cho vay TCTD chịu rủi ro > ▪ Ngoại tệ",▪ Ngoại tệ,-,-,"1,28%","1,70%","1,60%",-,"3,39%",-,,,0.0128,0.017,0.016,,0.0339,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,,,,,,,,,,,,,,,,
▪ VND,Phát hành giấy tờ có giá > ▪ VND,▪ VND,-,-,-,-,-,-,"6,64%",-,,,,,,,0.0664,
