row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2017 VND,31/12/2016 VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2017 VND,numeric__31/12/2016 VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU NỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Ngân hàng Nhà nước Việt Nam,16,335.209.877.603,424.781.685.200,,16.0,335209877603.0,424781685200.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,17,16.303.630.227.401,11.541.720.766.331,,17.0,16303630227401.0,11541720766331.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,10.642.882.288.241,5.860.141.842.618,,,10642882288241.0,5860141842618.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,5.660.747.939.160,5.681.578.923.713,,,5660747939160.0,5681578923713.0
III,B > III,III,Tiền gửi của khách hàng,18,53.205.792.395.177,43.063.985.057.813,,18.0,53205792395177.0,43063985057813.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,8,-,8.343.449.670,,8.0,,8343449670.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",19,2.645.465.792.367,2.131.150.305.448,,19.0,2645465792367.0,2131150305448.0
VI,B > VI,VI,Phát hành giấy tờ có giá,20,4.361.689.265.933,996.838.495.146,,20.0,4361689265933.0,996838495146.0
VII,B > VII,VII,Các khoản nợ khác,,1.308.985.521.577,932.590.019.251,,,1308985521577.0,932590019251.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,935.576.921.499,669.764.476.160,,,935576921499.0,669764476160.0
3,B > 3,3,Các khoản phải trả và công nợ khác,21,373.408.600.078,262.825.543.091,,21.0,373408600078.0,262825543091.0
,,,TỔNG NỘ PHẢI TRẢ,,78.160.773.080.058,59.099.409.778.859,,,78160773080058.0,59099409778859.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn chủ sở hữu,23,6.139.396.371.990,4.715.677.950.774,,23.0,6139396371990.0,4715677950774.0
1,B > 1,1,Vốn,,5.008.550.000.000,4.008.550.000.000,,,5008550000000.0,4008550000000.0
a,B > a,a,Vốn điều lệ,,5.000.000.000.000,4.000.000.000.000,,,5000000000000.0,4000000000000.0
c,B > c,c,Thặng dư vốn cổ phần,,98.800.000.000,98.800.000.000,,,98800000000.0,98800000000.0
d,B > d,d,Cổ phiếu quỹ,,(90.250.000.000),(90.250.000.000),,,-90250000000.0,-90250000000.0
2,B > 2,2,Các quỹ,,424.136.387.806,302.019.790.303,,,424136387806.0,302019790303.0
5,B > 5,5,Lợi nhuận chưa phân phối,,706.709.984.184,405.108.160.471,,,706709984184.0,405108160471.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,6.139.396.371.990,4.715.677.950.774,,,6139396371990.0,4715677950774.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,84.300.169.452.048,63.815.087.729.633,,,84300169452048.0,63815087729633.0
