row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Quá hạn > Quá hạn trên3 thángVND,Quá hạn > Quá hạn đến3 thángVND,Quá hạn > Đến 1 thángVND,Trong hạn > Từ trên 1 đến3 thángVND,Trong hạn > Từ trên 3 đến12 thángVND,Trong hạn > Từ trên 1 đến5 nămVND,Trong hạn > Trên 5 nămVND,Trong hạn > TổngVND,numeric__Quá hạn > Quá hạn trên3 thángVND,numeric__Quá hạn > Quá hạn đến3 thángVND,numeric__Quá hạn > Đến 1 thángVND,numeric__Trong hạn > Từ trên 1 đến3 thángVND,numeric__Trong hạn > Từ trên 3 đến12 thángVND,numeric__Trong hạn > Từ trên 1 đến5 nămVND,numeric__Trong hạn > Trên 5 nămVND,numeric__Trong hạn > TổngVND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,648.859.156.969,-,-,-,-,648.859.156.969,,,648859156969.0,,,,,648859156969.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,3.106.795.746.709,-,-,-,-,3.106.795.746.709,,,3106795746709.0,,,,,3106795746709.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,6.567.616.121.138,3.813.699.500.000,-,-,-,10.381.315.621.138,,,6567616121138.0,3813699500000.0,,,,10381315621138.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,-,-,-,-,531.580.500.000,2.757.012.700.000,3.288.593.200.000,,,,,,531580500000.0,2757012700000.0,3288593200000.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,(8.625.407.382),29.643.050.165,13.442.032.927,-,-,34.459.675.710,,,-8625407382.0,29643050165.0,13442032927.0,,,34459675710.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),586.335.354.898,864.574.041.527,2.819.391.146.680,3.854.109.251.824,9.893.659.332.780,14.545.995.218.761,15.618.912.337.355,48.182.976.683.825,586335354898.0,864574041527.0,2819391146680.0,3854109251824.0,9893659332780.0,14545995218761.0,15618912337355.0,48182976683825.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,70.039.451.357,20.231.517.297,878.414.540.553,8.915.000.101.814,6.937.096.110.974,16.820.781.721.995,,,70039451357.0,20231517297.0,878414540553.0,8915000101814.0,6937096110974.0,16820781721995.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,36.430.000.000,36.430.000.000,,,,,,,36430000000.0,36430000000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,527.005.924.816,527.005.924.816,,,,,,,527005924816.0,527005924816.0
