row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm2016,Quá hạnVND,Khôngchịu lãiVND,Dưới1 thángVND,Từ 1 đến3 thángVND,Từ trên 3 đến6 thángVND,Từ trên 6 đến12 thángVND,Từ trên 1 đến5 nămVND,Trên 5 nămVND,TổngVND,numeric__Quá hạnVND,numeric__Khôngchịu lãiVND,numeric__Dưới1 thángVND,numeric__Từ 1 đến3 thángVND,numeric__Từ trên 3 đến6 thángVND,numeric__Từ trên 6 đến12 thángVND,numeric__Từ trên 1 đến5 nămVND,numeric__Trên 5 nămVND,numeric__TổngVND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,463.412.241.843,-,-,-,-,-,-,463.412.241.843,,463412241843.0,,,,,,,463412241843.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,1.199.607.187.123,-,-,-,-,-,1.199.607.187.123,,,1199607187123.0,,,,,,1199607187123.0
Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,-,-,2.702.211.108.721,3.760.000.000.000,-,-,-,-,6.462.211.108.721,,,2702211108721.0,3760000000000.0,,,,,6462211108721.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),1.569.756.465.420,-,8.624.228.541.490,12.271.211.786.020,12.427.238.906.836,2.249.795.717.103,1.363.991.710.386,500.000.000,38.506.723.127.255,1569756465420.0,,8624228541490.0,12271211786020.0,12427238906836.0,2249795717103.0,1363991710386.0,500000000.0,38506723127255.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,910.849.967.592,300.000.000.000,-,205.000.000.000,425.000.000.000,9.414.560.200.000,3.614.666.600.000,14.870.076.767.592,,910849967592.0,300000000000.0,,205000000000.0,425000000000.0,9414560200000.0,3614666600000.0,14870076767592.0
"Gộp vốn, đầu tư dài hạn – gộp","Tài sản > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",-,79.847.300.000,-,-,-,-,-,-,79.847.300.000,,79847300000.0,,,,,,,79847300000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,407.947.523.803,-,-,-,-,-,-,407.947.523.803,,407947523803.0,,,,,,,407947523803.0
Tài sản có khác – gộp,Tài sản > Tài sản có khác – gộp,Tài sản có khác – gộp,5.799.100.000,2.429.368.125.290,-,-,-,-,-,-,2.435.167.225.290,5799100000.0,2429368125290.0,,,,,,,2435167225290.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),1.575.555.565.420,4.291.425.158.528,12.826.046.837.334,16.031.211.786.020,12.632.238.906.836,2.674.795.717.103,10.778.551.910.386,3.615.166.600.000,64.424.992.481.627,1575555565420.0,4291425158528.0,12826046837334.0,16031211786020.0,12632238906836.0,2674795717103.0,10778551910386.0,3615166600000.0,64424992481627.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,6.190.499.448,18.255.045.975,79.590.958.264,320.745.181.513,-,-,424.781.685.200,,,6190499448.0,18255045975.0,79590958264.0,320745181513.0,,,424781685200.0
Tiền gửi và vay các tổ chứctín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chứctín dụng khác,Tiền gửi và vay các tổ chứctín dụng khác,-,-,4.331.346.842.618,7.190.373.923.713,-,-,18.727.900.000,1.272.100.000,11.541.720.766.331,,,4331346842618.0,7190373923713.0,,,18727900000.0,1272100000.0,11541720766331.0
