row_label_raw,row_label_full,col_0,Vốn điều lệ VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Các quỹ VND,Lợi nhuận chưa phân phối VND,Tổng VND,numeric__Vốn điều lệ VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Các quỹ VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,3.547.147.640.000,98.800.000.000,(90.250.000.000),243.982.447.782,425.638.849.184,4.225.318.936.966,3547147640000.0,98800000000.0,-90250000000.0,243982447782.0,425638849184.0,4225318936966.0
Tăng vốn trong năm từ phát hành cổ phiếu,Tăng vốn trong năm từ phát hành cổ phiếu,Tăng vốn trong năm từ phát hành cổ phiếu,280.615.480.000,-,-,-,-,280.615.480.000,280615480000.0,,,,,280615480000.0
Tăng vốn trong năm bằng cổ tức trả bằng cổ phiếu,Tăng vốn trong năm bằng cổ tức trả bằng cổ phiếu,Tăng vốn trong năm bằng cổ tức trả bằng cổ phiếu,172.236.880.000,-,-,-,(172.236.880.000),-,172236880000.0,,,,-172236880000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,386.915.616.806,386.915.616.806,,,,,386915616806.0,386915616806.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,58.037.342.521,(58.037.342.521),-,,,,58037342521.0,-58037342521.0,
Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,-,(1.780.532.998),(1.780.532.998),,,,,-1780532998.0,-1780532998.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,(175.391.550.000),(175.391.550.000),,,,,-175391550000.0,-175391550000.0
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,4.000.000.000.000,98.800.000.000,(90.250.000.000),302.019.790.303,405.108.160.471,4.715.677.950.774,4000000000000.0,98800000000.0,-90250000000.0,302019790303.0,405108160471.0,4715677950774.0
Tăng vốn trong năm từ phát hành cổ phiếu (i),Tăng vốn trong năm từ phát hành cổ phiếu (i),Tăng vốn trong năm từ phát hành cổ phiếu (i),805.120.500.000,-,-,-,-,805.120.500.000,805120500000.0,,,,,805120500000.0
Tăng vốn trong năm bằng cổ tức trả bằng cổ phiếu (i),Tăng vốn trong năm bằng cổ tức trả bằng cổ phiếu (i),Tăng vốn trong năm bằng cổ tức trả bằng cổ phiếu (i),194.879.500.000,,,,(194.879.500.000),-,194879500000.0,,,,-194879500000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,816.766.203.959,816.766.203.959,,,,,816766203959.0,816766203959.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,122.116.597.503,(122.116.597.503),-,,,,122116597503.0,-122116597503.0,
Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,-,(3.288.782.743),(3.288.782.743),,,,,-3288782743.0,-3288782743.0
Cổ tức (i),Cổ tức (i),Cổ tức (i),-,-,-,-,(194.879.500.000),(194.879.500.000),,,,,-194879500000.0,-194879500000.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,5.000.000.000.000,98.800.000.000,(90.250.000.000),424.136.387.806,706.709.984.184,6.139.396.371.990,5000000000000.0,98800000000.0,-90250000000.0,424136387806.0,706709984184.0,6139396371990.0
