row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,VND VND,USD VND,Vàng VND,EUR VND,Tiền tệ khác VND,Tổng VND,numeric__VND VND,numeric__USD VND,numeric__Vàng VND,numeric__EUR VND,numeric__Tiền tệ khác VND,numeric__Tổng VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",526.308.990.293,104.089.920.675,2.593.932.000,14.532.563.718,1.333.750.283,648.859.156.969,526308990293.0,104089920675.0,2593932000.0,14532563718.0,1333750283.0,648859156969.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,2.864.950.248.529,241.845.498.180,-,-,-,3.106.795.746.709,2864950248529.0,241845498180.0,,,,3106795746709.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,7.660.312.082.755,2.642.698.773.393,-,17.748.315.522,60.556.449.468,10.381.315.621.138,7660312082755.0,2642698773393.0,,17748315522.0,60556449468.0,10381315621138.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,3.288.593.200.000,-,-,-,-,3.288.593.200.000,3288593200000.0,,,,,3288593200000.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,890.987.379.818,(845.719.554.108),-,(13.314.500.000),2.506.350.000,34.459.675.710,890987379818.0,-845719554108.0,,-13314500000.0,2506350000.0,34459675710.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,43.836.845.612.124,4.346.131.071.701,-,-,-,48.182.976.683.825,43836845612124.0,4346131071701.0,,,,48182976683825.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,16.820.781.721.995,-,-,-,-,16.820.781.721.995,16820781721995.0,,,,,16820781721995.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",36.430.000.000,-,-,-,-,36.430.000.000,36430000000.0,,,,,36430000000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,527.005.924.816,-,-,-,-,527.005.924.816,527005924816.0,,,,,527005924816.0
Tài sản có khác – gộp,Tài sản > Tài sản có khác – gộp,Tài sản có khác – gộp,2.053.680.622.096,24.359.924.755,-,373.084.273,-,2.078.413.631.124,2053680622096.0,24359924755.0,,373084273.0,,2078413631124.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),78.505.895.782.426,6.513.405.634.596,2.593.932.000,19.339.463.513,64.396.549.751,85.105.631.362.286,78505895782426.0,6513405634596.0,2593932000.0,19339463513.0,64396549751.0,85105631362286.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,335.209.877.603,-,-,-,-,335.209.877.603,335209877603.0,,,,,335209877603.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,14.289.635.254.317,2.013.994.973.084,-,-,-,16.303.630.227.401,14289635254317.0,2013994973084.0,,,,16303630227401.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,51.027.173.799.362,2.116.472.263.349,-,13.467.213.853,48.679.118.613,53.205.792.395.177,51027173799362.0,2116472263349.0,,13467213853.0,48679118613.0,53205792395177.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",290.840.792.367,2.354.625.000.000,-,-,-,2.645.465.792.367,290840792367.0,2354625000000.0,,,,2645465792367.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,4.361.689.265.933,-,-,-,-,4.361.689.265.933,4361689265933.0,,,,,4361689265933.0
