row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016,VND VND,USD VND,Vàng VND,EUR VND,Tiền tệ khác VND,Tổng VND,numeric__VND VND,numeric__USD VND,numeric__Vàng VND,numeric__EUR VND,numeric__Tiền tệ khác VND,numeric__Tổng VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",341.097.574.800,108.102.681.500,3.160.410.000,10.685.512.474,366.063.069,463.412.241.843,341097574800.0,108102681500.0,3160410000.0,10685512474.0,366063069.0,463412241843.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,1.103.053.472.845,96.553.714.278,-,-,-,1.199.607.187.123,1103053472845.0,96553714278.0,,,,1199607187123.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,5.600.607.755.721,773.542.106.662,-,74.177.419.908,13.883.826.430,6.462.211.108.721,5600607755721.0,773542106662.0,,74177419908.0,13883826430.0,6462211108721.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,35.111.254.880.501,3.395.468.246.754,-,-,-,38.506.723.127.255,35111254880501.0,3395468246754.0,,,,38506723127255.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,14.870.076.767.592,-,-,-,-,14.870.076.767.592,14870076767592.0,,,,,14870076767592.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",79.847.300.000,-,-,-,-,79.847.300.000,79847300000.0,,,,,79847300000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,407.947.523.803,-,-,-,-,407.947.523.803,407947523803.0,,,,,407947523803.0
Tài sản có khác – gộp,Tài sản > Tài sản có khác – gộp,Tài sản có khác – gộp,2.417.573.906.176,17.078.503.918,-,514.815.196,-,2.435.167.225.290,2417573906176.0,17078503918.0,,514815196.0,,2435167225290.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),59.931.459.181.438,4.390.745.253.112,3.160.410.000,85.377.747.578,14.249.889.499,64.424.992.481.627,59931459181438.0,4390745253112.0,3160410000.0,85377747578.0,14249889499.0,64424992481627.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,,,,
