row_label_raw,row_label_full,Số dư cuối năm,31/12/2017VND > Phải thu/(Phải trả),31/12/2016VND > Phải thu/(Phải trả),numeric__31/12/2017VND > Phải thu/(Phải trả),numeric__31/12/2016VND > Phải thu/(Phải trả)
Các cổ đông lớn,Các cổ đông lớn,Các cổ đông lớn,,,,
Ngân hàng BNP Paribas (“BNP”) (*),Ngân hàng BNP Paribas (“BNP”) (*),Ngân hàng BNP Paribas (“BNP”) (*),,,,
Tiền gửi tại BNP,Ngân hàng BNP Paribas (“BNP”) (*) > Tiền gửi tại BNP,Tiền gửi tại BNP,5.073.257.488,49.111.733.148,5073257488.0,49111733148.0
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam (“VCB”) (*),Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam (“VCB”) (*),Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam (“VCB”) (*),,,,
Tiền gửi tại VCB,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam (“VCB”) (*) > Tiền gửi tại VCB,Tiền gửi tại VCB,5.764.522.252,1.134.597.101,5764522252.0,1134597101.0
Tiền gửi của VCB,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam (“VCB”) (*) > Tiền gửi của VCB,Tiền gửi của VCB,(1.200.000.000.000),(1.025.000.000.000),-1200000000000.0,-1025000000000.0
Vay từ VCB,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam (“VCB”) (*) > Vay từ VCB,Vay từ VCB,(2.422.000.800.000),(1.162.272.500.000),-2422000800000.0,-1162272500000.0
Lãi phải trả,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam (“VCB”) (*) > Lãi phải trả,Lãi phải trả,(3.838.126.933),(8.990.201.595),-3838126933.0,-8990201595.0
Các bên liên quan khác (**),Các bên liên quan khác (**),Các bên liên quan khác (**),,,,
Tổng Công ty Bến Thành – TNHH MTV,Tổng Công ty Bến Thành – TNHH MTV,Tổng Công ty Bến Thành – TNHH MTV,,,,
Tiền gửi,Tổng Công ty Bến Thành – TNHH MTV > Tiền gửi,Tiền gửi,(604.315.504.416),(650.221.631.782),-604315504416.0,-650221631782.0
Lãi phải trả,Tổng Công ty Bến Thành – TNHH MTV > Lãi phải trả,Lãi phải trả,(1.787.423.609),(2.036.027.777),-1787423609.0,-2036027777.0
Công ty CP Phát triển và Dịch vụ Nhà Bến Thành (*),Công ty CP Phát triển và Dịch vụ Nhà Bến Thành (*),Công ty CP Phát triển và Dịch vụ Nhà Bến Thành (*),,,,
Tiền gửi,Công ty CP Phát triển và Dịch vụ Nhà Bến Thành (*) > Tiền gửi,Tiền gửi,(50.063.095.170),(20.521.102.202),-50063095170.0,-20521102202.0
Lãi phải trả,Công ty CP Phát triển và Dịch vụ Nhà Bến Thành (*) > Lãi phải trả,Lãi phải trả,(184.610.302),(37.411.111),-184610302.0,-37411111.0
