row_label_raw,row_label_full,col_0,"Huy động vốn và cho vaylại, kinh doanhchứng khoán nợ","Huy động vốn và cho vaylại, kinh doanhchứng khoán nợ_1",Kinh doanh chứng khoánvốn và góp vốn mua cổ phần,Kinh doanh chứng khoánvốn và góp vốn mua cổ phần_1,Khác,Khác_1,Hoạt động chung khôngphân bổ,Hoạt động chung khôngphân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vaylại, kinh doanhchứng khoán nợ","numeric__Huy động vốn và cho vaylại, kinh doanhchứng khoán nợ_1",numeric__Kinh doanh chứng khoánvốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoánvốn và góp vốn mua cổ phần_1,numeric__Khác,numeric__Khác_1,numeric__Hoạt động chung khôngphân bổ,numeric__Hoạt động chung khôngphân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Năm nay/Cuối nămTriệu VND,Năm trước/Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/Đầu nămTriệu VND,,,,,,,,,,
I. Doanh thu,I. Doanh thu,I. Doanh thu,6.805.826,5.633.229,51.920,59.073,248.587,136.261,-,-,7.106.333,5.828.563,6805826.0,5633229.0,51920.0,59073.0,248587.0,136261.0,,,7106333.0,5828563.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,6.805.826,5.633.229,-,-,6.331,4.508,-,-,6.812.157,5.637.737,6805826.0,5633229.0,,,6331.0,4508.0,,,6812157.0,5637737.0
2. Doanh thu từ hoạt độngđầu tư,2. Doanh thu từ hoạt độngđầu tư,2. Doanh thu từ hoạt độngđầu tư,-,-,51.920,59.073,-,-,-,-,51.920,59.073,,,51920.0,59073.0,,,,,51920.0,59073.0
3. Doanh thu từ hoạt độngkinh doanh khác,3. Doanh thu từ hoạt độngkinh doanh khác,3. Doanh thu từ hoạt độngkinh doanh khác,-,-,-,-,242.256,131.753,-,-,242.256,131.753,,,,,242256.0,131753.0,,,242256.0,131753.0
II. Chi phí,II. Chi phí,II. Chi phí,5.155.361,4.299.502,33.450,46.279,132.394,84.979,746.096,697.537,6.067.301,5.128.297,5155361.0,4299502.0,33450.0,46279.0,132394.0,84979.0,746096.0,697537.0,6067301.0,5128297.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,5.155.361,4.299.502,-,-,-,-,-,-,5.155.361,4.299.502,5155361.0,4299502.0,,,,,,,5155361.0,4299502.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,-,-,-,-,-,-,33.507,33.466,33.507,33.466,,,,,,,33507.0,33466.0,33507.0,33466.0
3. Chi phí liên quan trựctiếp đến hoạt động kinhdoanh,3. Chi phí liên quan trựctiếp đến hoạt động kinhdoanh,3. Chi phí liên quan trựctiếp đến hoạt động kinhdoanh,-,-,33.450,46.279,132.394,84.979,712.589,664.071,878.433,795.329,,,33450.0,46279.0,132394.0,84979.0,712589.0,664071.0,878433.0,795329.0
Kết quả kinh doanh trướcchi phí dự phòng rủi ro,Kết quả kinh doanh trướcchi phí dự phòng rủi ro,Kết quả kinh doanh trướcchi phí dự phòng rủi ro,1.650.465,1.333.727,18.470,12.794,116.193,51.282,(746.096),(697.537),1.039.032,700.266,1650465.0,1333727.0,18470.0,12794.0,116193.0,51282.0,-746096.0,-697537.0,1039032.0,700266.0
Chi phí/(Hoàn nhập) dự phòng rủi ro,Chi phí/(Hoàn nhập) dự phòng rủi ro,Chi phí/(Hoàn nhập) dự phòng rủi ro,296.423,64.007,14.262,(2.186),-,-,-,-,310.685,61.821,296423.0,64007.0,14262.0,-2186.0,,,,,310685.0,61821.0
Kết quả kinh doanh bộphận,Kết quả kinh doanh bộphận,Kết quả kinh doanh bộphận,1.354.042,1.269.720,4.208,14.980,116.193,51.282,(746.096),(697.537),728.347,638.445,1354042.0,1269720.0,4208.0,14980.0,116193.0,51282.0,-746096.0,-697537.0,728347.0,638445.0
