row_label_raw,row_label_full,Bà Trần Thị Thoàng,Chủ tịch,numeric__Chủ tịch
Bà Thái Hương,Bà Thái Hương,Bà Thái Hương,Phó Chủ tịch,
Ông Võ Văn Quang,Ông Võ Văn Quang,Ông Võ Văn Quang,Ủy viên,
Ông Đặng Thái Nguyên,Ông Đặng Thái Nguyên,Ông Đặng Thái Nguyên,Ủy viên,
Bà Hoàng Hồng Hạnh,Bà Hoàng Hồng Hạnh,Bà Hoàng Hồng Hạnh,Ủy viên,
