row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa,vật kiến trúc > Triệu VND","Máy móc,thiết bị > Triệu VND",Phương tiệnvận tải > Triệu VND,Thiết bị dụng cụquản lý > Triệu VND,Cộng > Triệu VND,"numeric__Nhà cửa,vật kiến trúc > Triệu VND","numeric__Máy móc,thiết bị > Triệu VND",numeric__Phương tiệnvận tải > Triệu VND,numeric__Thiết bị dụng cụquản lý > Triệu VND,numeric__Cộng > Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,63.447,109.129,49.624,41.586,263.786,63447.0,109129.0,49624.0,41586.0,263786.0
- Mua sắm trong năm,Nguyên giá > - Mua sắm trong năm,- Mua sắm trong năm,658,11.171,3.248,1.305,16.382,658.0,11171.0,3248.0,1305.0,16382.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(44),(42),(494),(605),(1.185),-44.0,-42.0,-494.0,-605.0,-1185.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,64.061,120.258,52.378,42.286,278.983,64061.0,120258.0,52378.0,42286.0,278983.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,23.841,53.769,29.516,35.964,143.090,23841.0,53769.0,29516.0,35964.0,143090.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,2.576,12.500,4.207,3.712,22.995,2576.0,12500.0,4207.0,3712.0,22995.0
"- Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(44),(42),(494),(605),(1.185),-44.0,-42.0,-494.0,-605.0,-1185.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,26.373,66.227,33.229,39.071,164.900,26373.0,66227.0,33229.0,39071.0,164900.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,39.606,55.360,20.108,5.622,120.696,39606.0,55360.0,20108.0,5622.0,120696.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,37.688,54.031,19.149,3.215,114.083,37688.0,54031.0,19149.0,3215.0,114083.0
