row_label_raw,row_label_full,col_0,Số phải thuđầu năm,Số phải nộpđầu năm,Số phải nộptrong năm,Số đã thực nộptrong năm,Giảm khác,Số phải thucuối năm,Số phải nộpcuối năm,numeric__Số phải thuđầu năm,numeric__Số phải nộpđầu năm,numeric__Số phải nộptrong năm,numeric__Số đã thực nộptrong năm,numeric__Giảm khác,numeric__Số phải thucuối năm,numeric__Số phải nộpcuối năm
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,80.322.614,2.445.580.840,37.123.850.993,38.831.618.965,-,378.761.806,1.036.252.060,80322614.0,2445580840.0,37123850993.0,38831618965.0,,378761806.0,1036252060.0
Thuế Tiêu thụ đặc biệt,Thuế Tiêu thụ đặc biệt,Thuế Tiêu thụ đặc biệt,-,972.072.880,9.572.283.353,9.361.554.373,-,-,1.182.801.860,,972072880.0,9572283353.0,9361554373.0,,,1182801860.0
"Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu",28.345.674,-,3.444.301.698,3.419.478.996,-,3.522.972,-,28345674.0,,3444301698.0,3419478996.0,,3522972.0,
Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,-,6.896.356.088,25.935.593.242,21.235.349.182,-,-,11.596.600.148,,6896356088.0,25935593242.0,21235349182.0,,,11596600148.0
Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,-,1.628.712.591,4.527.436.395,5.765.727.652,(12.708.969),-,377.712.365,,1628712591.0,4527436395.0,5765727652.0,-12708969.0,,377712365.0
Thuế Tài nguyên,Thuế Tài nguyên,Thuế Tài nguyên,-,279.000,3.285.000,3.285.000,-,-,279.000,,279000.0,3285000.0,3285000.0,,,279000.0
"Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất",-,-,183.503.015,183.503.015,-,-,-,,,183503015.0,183503015.0,,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,12.619.989,465.023.070,463.735.616,-,-,13.907.443,,12619989.0,465023070.0,463735616.0,,,13907443.0
"Phí, lệ phí và các khoản phải nộpkhác","Phí, lệ phí và các khoản phải nộpkhác","Phí, lệ phí và các khoản phải nộpkhác",-,-,402.766.862,302.530.862,-,-,100.236.000,,,402766862.0,302530862.0,,,100236000.0
,,,108.668.288,11.955.621.388,81.658.043.628,79.566.783.661,(12.708.969),382.284.778,14.307.788.876,108668288.0,11955621388.0,81658043628.0,79566783661.0,-12708969.0,382284778.0,14307788876.0
