row_label_raw,row_label_full,col_0,Cáp và vật liệuviễn thông,Xây dựng và kinhdoanh bất động sản,Đầu tư tài chính vàlĩnh vực khác,Tổng cộng toàndoanh nghiệp,numeric__Cáp và vật liệuviễn thông,numeric__Xây dựng và kinhdoanh bất động sản,numeric__Đầu tư tài chính vàlĩnh vực khác,numeric__Tổng cộng toàndoanh nghiệp
,,,VND,VND,VND,VND,,,,
Doanh thu thuần từbán hàng ra bên ngoài,Doanh thu thuần từbán hàng ra bên ngoài,Doanh thu thuần từbán hàng ra bên ngoài,3.786.841.112.653,84.255.801.776,167.134.308.158,4.038.231.222.587,3786841112653.0,84255801776.0,167134308158.0,4038231222587.0
Lợi nhuận từ hoạt động kinhdoanh,Lợi nhuận từ hoạt động kinhdoanh,Lợi nhuận từ hoạt động kinhdoanh,118.135.138.032,49.963.175.933,35.581.429.510,203.679.743.475,118135138032.0,49963175933.0,35581429510.0,203679743475.0
Tổng chi phí mua tài sản cố định,Tổng chi phí mua tài sản cố định,Tổng chi phí mua tài sản cố định,240.403.620,-,32.886.959.074,33.127.362.694,240403620.0,,32886959074.0,33127362694.0
Tài sản bộ phận trực tiếp,Tài sản bộ phận trực tiếp,Tài sản bộ phận trực tiếp,1.477.499.205.447,947.859.876.739,3.950.208.320.363,6.375.567.402.549,1477499205447.0,947859876739.0,3950208320363.0,6375567402549.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,1.477.499.205.447,947.859.876.739,3.950.208.320.363,6.375.567.402.549,1477499205447.0,947859876739.0,3950208320363.0,6375567402549.0
Nợ phải trả bộ phận trực tiếp,Nợ phải trả bộ phận trực tiếp,Nợ phải trả bộ phận trực tiếp,930.576.759.911,102.125.472.541,612.280.699.071,1.644.982.931.523,930576759911.0,102125472541.0,612280699071.0,1644982931523.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,49.919.191.526,,,,49919191526.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,930.576.759.911,102.125.472.541,612.280.699.071,1.694.902.123.049,930576759911.0,102125472541.0,612280699071.0,1694902123049.0
