row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Khác,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Khác,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,43.484.939.916,5.536.530.433,697.830.000,49.719.300.349,43484939916.0,5536530433.0,697830000.0,49719300349.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,124.000.000,-,124.000.000,,124000000.0,,124000000.0
- Điều chỉnh do chuyển đổi mục đích sử dụng trong năm (*),Nguyên giá > - Điều chỉnh do chuyển đổi mục đích sử dụng trong năm (*),- Điều chỉnh do chuyển đổi mục đích sử dụng trong năm (*),2.099.000.000,-,-,2.099.000.000,2099000000.0,,,2099000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,45.583.939.916,5.660.530.433,697.830.000,51.942.300.349,45583939916.0,5660530433.0,697830000.0,51942300349.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,13.840.657.747,4.736.715.525,697.830.000,19.275.203.272,13840657747.0,4736715525.0,697830000.0,19275203272.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,1.008.865.152,254.472.806,-,1.263.337.958,1008865152.0,254472806.0,,1263337958.0
- Điều chỉnh do chuyển đổi mục đích sử dụng trong năm (*),Giá trị hao mòn lũy kế > - Điều chỉnh do chuyển đổi mục đích sử dụng trong năm (*),- Điều chỉnh do chuyển đổi mục đích sử dụng trong năm (*),260.431.479,-,-,260.431.479,260431479.0,,,260431479.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,15.109.954.378,4.991.188.331,697.830.000,20.798.972.709,15109954378.0,4991188331.0,697830000.0,20798972709.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,29.644.282.169,799.814.908,-,30.444.097.077,29644282169.0,799814908.0,,30444097077.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,30.473.985.538,669.342.102,-,31.143.327.640,30473985538.0,669342102.0,,31143327640.0
