row_label_raw,row_label_full,col_0,Năm 2024,Năm 2023,numeric__Năm 2024,numeric__Năm 2023
,,,VND,VND,,
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,8.869.609.033,15.132.519.228,8869609033.0,15132519228.0
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,1.635.703.671,426.118.357,1635703671.0,426118357.0
Công ty Cổ phần Chứng khoán Quốc Gia,Công ty Cổ phần Chứng khoán Quốc Gia,Công ty Cổ phần Chứng khoán Quốc Gia,6.416.188,765.524.000,6416188.0,765524000.0
Công ty Cổ phần Đầu tư Infinity Group,Công ty Cổ phần Đầu tư Infinity Group,Công ty Cổ phần Đầu tư Infinity Group,7.227.489.174,13.940.876.871,7227489174.0,13940876871.0
Thoái vốn,Thoái vốn,Thoái vốn,82.731.705.691,-,82731705691.0,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,82.731.705.691,-,82731705691.0,
Hoàn trả vốn hợp tác đầu tư,Hoàn trả vốn hợp tác đầu tư,Hoàn trả vốn hợp tác đầu tư,13.000.000.000,-,13000000000.0,
Công ty TNHH Cát thạch anh Cao cấp Vico,Công ty TNHH Cát thạch anh Cao cấp Vico,Công ty TNHH Cát thạch anh Cao cấp Vico,13.000.000.000,-,13000000000.0,
Tạm ứng,Tạm ứng,Tạm ứng,-,4.729.000,,4729000.0
Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,-,4.729.000,,4729000.0
