row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý
Cổ phiếu và chứng khoản niêm yết (1),Cổ phiếu và chứng khoản niêm yết (1),Cổ phiếu và chứng khoản niêm yết (1),1.009.557.613.272,1.026.268.627.260,1.482.733.518.173,1.509.951.923.480,1009557613272.0,1026268627260.0,1482733518173.0,1509951923480.0
FPT,FPT,FPT,15.013.983.566,14.503.071.000,73.847.343.900,79.197.605.100,15013983566.0,14503071000.0,73847343900.0,79197605100.0
MBB,MBB,MBB,8.400.183.626,8.472.844.200,27.662.703.961,28.422.963.000,8400183626.0,8472844200.0,27662703961.0,28422963000.0
MWG,MWG,MWG,210.971.979.822,208.589.784.300,32.119.701.765,32.753.739.700,210971979822.0,208589784300.0,32119701765.0,32753739700.0
SGN,SGN,SGN,407.684.911.102,420.402.968.000,370.773.183.102,382.892.550.000,407684911102.0,420402968000.0,370773183102.0,382892550000.0
VPB,VPB,VPB,70.064.308.000,69.355.375.800,36.913.746.455,37.465.675.000,70064308000.0,69355375800.0,36913746455.0,37465675000.0
FUESSV50,FUESSV50,FUESSV50,17.675.672.112,32.062.977.000,17.673.347.312,22.120.000.000,17675672112.0,32062977000.0,17673347312.0,22120000000.0
Cổ phiếu và chứng khoản niêm yết khác,Cổ phiếu và chứng khoản niêm yết khác,Cổ phiếu và chứng khoản niêm yết khác,279.746.575.044,272.881.606.960,923.743.491.678,927.099.390.680,279746575044.0,272881606960.0,923743491678.0,927099390680.0
Cổ phiếu niêm yết cho hoạt động phòng ngừa rủi ro của chứng quyền,Cổ phiếu niêm yết cho hoạt động phòng ngừa rủi ro của chứng quyền,Cổ phiếu niêm yết cho hoạt động phòng ngừa rủi ro của chứng quyền,756.070.971.658,753.490.336.500,497.988.719.529,525.040.743.600,756070971658.0,753490336500.0,497988719529.0,525040743600.0
HPG,HPG,HPG,73.542.487.719,68.496.144.000,119.366.528.685,129.145.682.100,73542487719.0,68496144000.0,119366528685.0,129145682100.0
FPT,FPT,FPT,92.779.827.372,89.622.612.000,23.445.299.072,25.143.917.700,92779827372.0,89622612000.0,23445299072.0,25143917700.0
MBB,MBB,MBB,86.665.742.393,87.415.390.600,40.205.038.732,41.310.001.000,86665742393.0,87415390600.0,40205038732.0,41310001000.0
VRE,VRE,VRE,55.305.263.332,54.932.500.000,50.183.440.601,51.847.052.000,55305263332.0,54932500000.0,50183440601.0,51847052000.0
MWG,MWG,MWG,106.291.665.063,105.091.470.000,9.491.107.019,9.678.460.000,106291665063.0,105091470000.0,9491107019.0,9678460000.0
Cổ phiếu khác,Cổ phiếu khác,Cổ phiếu khác,341.485.985.779,347.932.219.900,255.297.305.420,267.915.630.800,341485985779.0,347932219900.0,255297305420.0,267915630800.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,54.339.454.020,34.528.770.867,54.082.228.373,34.525.310.285,54339454020.0,34528770867.0,54082228373.0,34525310285.0
Trải phiếu niêm yết,Trải phiếu niêm yết,Trải phiếu niêm yết,100.074.600.000,100.074.600.000,-,-,100074600000.0,100074600000.0,,
Trải phiếu chưa niêm yết (2),Trải phiếu chưa niêm yết (2),Trải phiếu chưa niêm yết (2),3.109.933.782.682,3.109.933.782.682,2.274.447.114.683,2.274.447.114.683,3109933782682.0,3109933782682.0,2274447114683.0,2274447114683.0
Chứng chỉ tiền gửi (3),Chứng chỉ tiền gửi (3),Chứng chỉ tiền gửi (3),6.722.788.212.290,6.722.788.212.290,8.863.948.398.453,8.863.948.398.453,6722788212290.0,6722788212290.0,8863948398453.0,8863948398453.0
Tổng cộng,Tổng cộng,Tổng cộng,11.752.764.633.922,11.747.084.329.599,13.173.199.979.211,13.207.913.490.501,11752764633922.0,11747084329599.0,13173199979211.0,13207913490501.0
