row_label_raw,row_label_full,Thuế giá trị gia tăng,Số cuối năm > 1.836.459.274,Đơn vị tính: VND > Số đầu năm > 566.316.748,numeric__Số cuối năm > 1.836.459.274,numeric__Đơn vị tính: VND > Số đầu năm > 566.316.748
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,222.198.744.178,54.641.407.497,222198744178.0,54641407497.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,118.330.378.924,49.717.472.708,118330378924.0,49717472708.0
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,8.113.911.501,4.993.657.176,8113911501.0,4993657176.0
Tổng cộng,Tổng cộng,Tổng cộng,350.479.493.877,109.918.854.129,350479493877.0,109918854129.0
