row_label_raw,row_label_full,Năm 2020,Môi giói và dịch vụ khách hàng (1) > Năm 2020,Tự doanh > Năm 2020,Kinh doanh nguồn vốn > Năm 2020,Ngân hàng đầu tư và các bộ phận khác > Năm 2020,Đơn vị tính: VND Tổng cộng > Năm 2020,numeric__Môi giói và dịch vụ khách hàng (1) > Năm 2020,numeric__Tự doanh > Năm 2020,numeric__Kinh doanh nguồn vốn > Năm 2020,numeric__Ngân hàng đầu tư và các bộ phận khác > Năm 2020,numeric__Đơn vị tính: VND Tổng cộng > Năm 2020
1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1.379.800.839.550,2.032.704.670.850,1.027.701.207.166,87.711.579.505,4.527.918.297.071,1379800839550.0,2032704670850.0,1027701207166.0,87711579505.0,4527918297071.0
2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,840.276.822.962,1.351.086.238.294,552.614.182.540,52.221.180.021,2.796.198.423.817,840276822962.0,1351086238294.0,552614182540.0,52221180021.0,2796198423817.0
3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,113.347.640.490,17.045.510.385,10.791.042.290,25.601.622.742,166.785.815.907,113347640490.0,17045510385.0,10791042290.0,25601622742.0,166785815907.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,426.176.376.098,664.572.922.171,464.295.982.336,9.888.776.742,1.564.934.057.347,426176376098.0,664572922171.0,464295982336.0,9888776742.0,1564934057347.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,,,,,
1. Tài sản bộ phận,Số dư tại ngày 31 tháng 12 năm 2020 > 1. Tài sản bộ phận,1. Tài sản bộ phận,9.232.293.798.160,14.691.174.720.686,11.145.128.560.060,10.740.688.666,35.079.337.767.572,9232293798160.0,14691174720686.0,11145128560060.0,10740688666.0,35079337767572.0
2. Tài sản phân bổ,Số dư tại ngày 31 tháng 12 năm 2020 > 2. Tài sản phân bổ,2. Tài sản phân bổ,182.249.812.057,27.407.196.575,17.350.739.906,41.164.429.298,268.172.177.836,182249812057.0,27407196575.0,17350739906.0,41164429298.0,268172177836.0
3. Tài sản không phân bổ,Số dư tại ngày 31 tháng 12 năm 2020 > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,-,-,-,-,81.512.572.004,,,,,81512572004.0
Tổng tài sản,Số dư tại ngày 31 tháng 12 năm 2020 > Tổng tài sản,Tổng tài sản,9.414.543.610.217,14.718.581.917.261,11.162.479.299.966,51.905.117.964,35.429.022.517.412,9414543610217.0,14718581917261.0,11162479299966.0,51905117964.0,35429022517412.0
4. Nợ phải trả bộ phận,Số dư tại ngày 31 tháng 12 năm 2020 > 4. Nợ phải trả bộ phận,4. Nợ phải trả bộ phận,2.173.948.026.776,9.788.969.996.831,13.463.058.112.646,4.112.194.419,25.430.088.330.672,2173948026776.0,9788969996831.0,13463058112646.0,4112194419.0,25430088330672.0
5. Nợ phân bổ,Số dư tại ngày 31 tháng 12 năm 2020 > 5. Nợ phân bổ,5. Nợ phân bổ,170.774.386.393,25.681.492.480,16.258.244.261,38.572.496.044,251.286.619.178,170774386393.0,25681492480.0,16258244261.0,38572496044.0,251286619178.0
6. Nợ không phân bổ,Số dư tại ngày 31 tháng 12 năm 2020 > 6. Nợ không phân bổ,6. Nợ không phân bổ,-,-,-,-,156.779.909.702,,,,,156779909702.0
Tổng công nợ,Số dư tại ngày 31 tháng 12 năm 2020 > Tổng công nợ,Tổng công nợ,2.344.722.413.169,9.814.651.489.311,13.479.316.356.907,42.684.690.463,25.838.154.859.552,2344722413169.0,9814651489311.0,13479316356907.0,42684690463.0,25838154859552.0
