row_label_raw,row_label_full,CHỈ TIỀU,Thuyết minh,Số dư đầu năm > Ngày 1 tháng 1 năm 2020 > VND,Số dư đầu năm > Ngày 1 tháng 1 năm 2021 > VND,Số tăng/giảm > Năm trước > Tăng > VND,Số tăng/giảm > Năm trước > `Giảm > VND,Số tăng/giảm > Năm nay > Tăng > VND,Số tăng/giảm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2020 > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2021 > VND,numeric__Thuyết minh,numeric__Số dư đầu năm > Ngày 1 tháng 1 năm 2020 > VND,numeric__Số dư đầu năm > Ngày 1 tháng 1 năm 2021 > VND,numeric__Số tăng/giảm > Năm trước > Tăng > VND,numeric__Số tăng/giảm > Năm trước > `Giảm > VND,numeric__Số tăng/giảm > Năm nay > Tăng > VND,numeric__Số tăng/giảm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2020 > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2021 > VND
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
II. THU NHẬP TOÀN DIỆN KHÁC1. Lãi/(lỗ) từ đánh giá lại các tài sản tài chính AFS,II. THU NHẬP TOÀN DIỆN KHÁC1. Lãi/(lỗ) từ đánh giá lại các tài sản tài chính AFS,II. THU NHẬP TOÀN DIỆN KHÁC1. Lãi/(lỗ) từ đánh giá lại các tài sản tài chính AFS,,260.974.419.033,(3.793.033.106),30.309.756.224,(295.077.208.363),-,-,(3.793.033.106),(3.793.033.106),,260974419033.0,-3793033106.0,30309756224.0,-295077208363.0,,,-3793033106.0,-3793033106.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,40,260.974.419.033,(3.793.033.106),30.309.756.224,(295.077.208.363),-,-,(3.793.033.106),(3.793.033.106),40.0,260974419033.0,-3793033106.0,30309756224.0,-295077208363.0,,,-3793033106.0,-3793033106.0
