row_label_raw,row_label_full,STT,Danh mục các khoản đầu tư,Số lượng bán Đơn vị,Giá bán bình quân VND/đơn vị,Tổng giá trị bán VND,Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,Lãi bán chứng khoán năm nay VND,Lãi bán chứng khoán năm trước VND,numeric__Danh mục các khoản đầu tư,numeric__Số lượng bán Đơn vị,numeric__Giá bán bình quân VND/đơn vị,numeric__Tổng giá trị bán VND,numeric__Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,numeric__Lãi bán chứng khoán năm nay VND,numeric__Lãi bán chứng khoán năm trước VND
1,1,1,LÃI BÁN,,,,,,,,,,,,,
1,1 > 1,1,Cổ phiếu và chứng khoán niêm yết,472.129.776,,13.989.003.477.104,13.139.280.831.580,849.722.645.524,272.266.608.483,,472129776.0,,13989003477104.0,13139280831580.0,849722645524.0,272266608483.0
1,1 > 1,1,FPT,11.098.800,79.486,882.196.390.000,804.103.995.057,78.092.394.943,27.597.478.523,,11098800.0,79486.0,882196390000.0,804103995057.0,78092394943.0,27597478523.0
1,1 > 1,1,HPG,22.238.600,47.361,1.053.234.185.000,984.082.771.421,69.151.413.579,77.873.598.311,,22238600.0,47361.0,1053234185000.0,984082771421.0,69151413579.0,77873598311.0
1,1 > 1,1,MWG,8.987.900,134.927,1.212.720.070.000,1.154.795.504.595,57.924.565.405,8.883.149.780,,8987900.0,134927.0,1212720070000.0,1154795504595.0,57924565405.0,8883149780.0
1,1 > 1,1,TCB,28.517.200,42.944,1.224.633.915.000,1.131.747.628.369,92.886.286.631,3.359.513.992,,28517200.0,42944.0,1224633915000.0,1131747628369.0,92886286631.0,3359513992.0
1,1 > 1,1,VPB,18.149.300,45.426,824.452.610.000,763.780.881.330,60.671.728.670,5.440.884.457,,18149300.0,45426.0,824452610000.0,763780881330.0,60671728670.0,5440884457.0
1,1 > 1,1,Chứng quyền do Công ty phát hành,127.702.610,,398.551.174.476,260.190.208.980,138.360.965.496,58.351.621.304,,127702610.0,,398551174476.0,260190208980.0,138360965496.0,58351621304.0
1,1 > 1,1,Cổ phiếu và chứng khoán niêm yết khác,255.435.366,,8.393.215.132.628,8.040.579.841.828,352.635.290.800,90.760.362.116,,255435366.0,,8393215132628.0,8040579841828.0,352635290800.0,90760362116.0
2,1 > 2,2,Cổ phiếu và Chứng chỉ quỹ chưa niêm yết,9.429.597,,216.102.348.028,132.075.447.593,84.026.900.435,45.599.186.740,,9429597.0,,216102348028.0,132075447593.0,84026900435.0,45599186740.0
3,1 > 3,3,Trái phiếu niêm yết,166.828.146,,17.516.585.869.749,17.509.725.550.000,6.860.319.749,2.620.100.000,,166828146.0,,17516585869749.0,17509725550000.0,6860319749.0,2620100000.0
4,1 > 4,4,Trái phiếu và chứng khoán chưa niêm yết,9.206.599,,108.205.100.755.431,107.920.127.544.397,284.973.211.034,197.750.120.593,,9206599.0,,108205100755431.0,107920127544397.0,284973211034.0,197750120593.0
5,1 > 5,5,Lãi vị thế của hợp đồng CKPS,-,,-,-,102.569.866.000,145.434.778.000,,,,,,102569866000.0,145434778000.0
5,1 > 5,5,Tổng cộng,657.594.118,,139.926.792.450.312,138.701.209.373.570,1.328.152.942.742,663.670.793.816,,657594118.0,,139926792450312.0,138701209373570.0,1328152942742.0,663670793816.0
