row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả) > Số đầu năm,Phải thu/(phải trả) > Tăng trong năm,Phải thu/(phải trả) > Giảm trong năm,Phải thu/(phải trả) > Số cuối năm,Đơn vị tính: VNDDoanh thu/(chi phi),numeric__Giao dịch,numeric__Phải thu/(phải trả) > Số đầu năm,numeric__Phải thu/(phải trả) > Tăng trong năm,numeric__Phải thu/(phải trả) > Giảm trong năm,numeric__Phải thu/(phải trả) > Số cuối năm,numeric__Đơn vị tính: VNDDoanh thu/(chi phi)
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,1.726.760.211,(1.726.760.211),-,1.726.760.211,,,1726760211.0,-1726760211.0,,1726760211.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Doanh thu hợp đồng tư vấn,-,11.446.111.200,(6.215.000.000),5.231.111.200,10.554.166.750,,,11446111200.0,-6215000000.0,5231111200.0,10554166750.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Giao dịch mua chứng khoán,-,(5.652.465.421.000),5.652.465.421.000,-,-,,,-5652465421000.0,5652465421000.0,,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Giao dịch bán chứng khoán,-,7.849.461.334.000,(7.849.461.334.000),-,17.887.200.136,,,7849461334000.0,-7849461334000.0,,17887200136.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Chi phí mua hàng hóa,-,(3.827.900.000),3.827.900.000,-,(3.827.900.000),,,-3827900000.0,3827900000.0,,-3827900000.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Ứng trước hợp đồng tư vấn,-,(100.000.000),-,(100.000.000),-,,,-100000000.0,,-100000000.0,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Cổ tức được nhận,-,20.791.396.500,(20.791.396.500),-,20.791.396.500,,,20791396500.0,-20791396500.0,,20791396500.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Nhận hợp đồng quản lý tiền gửi và khác,(229.716.891.035),(2.285.214.861.113),2.225.050.130.157,(289.881.621.991),-,,-229716891035.0,-2285214861113.0,2225050130157.0,-289881621991.0,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Lãi hợp đồng quản lý tiền gửi phải trả và khác,(621.478.748),(10.470.267.838),10.740.530.426,(351.216.160),(10.470.267.838),,-621478748.0,-10470267838.0,10740530426.0,-351216160.0,-10470267838.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Phải trả khác,-,(6.618.729.339),6.618.729.339,-,-,,,-6618729339.0,6618729339.0,,
Công ty TNHH MTV Nguyễn Sài Gòn,Công ty TNHH MTV Nguyễn Sài Gòn,Công ty TNHH MTV Nguyễn Sài Gòn,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,1.359.695.877,(1.359.695.877),-,1.359.695.877,,,1359695877.0,-1359695877.0,,1359695877.0
Công ty TNHH MTV Nguyễn Sài Gòn,Công ty TNHH MTV Nguyễn Sài Gòn,Công ty TNHH MTV Nguyễn Sài Gòn,Phải thu giao dịch ký quỹ,-,10.785.668.095,(10.785.668.095),-,27.756.710,,,10785668095.0,-10785668095.0,,27756710.0
Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,55.244.190,(55.244.190),-,55.244.190,,,55244190.0,-55244190.0,,55244190.0
Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Nhận hợp đồng quản lý tiền gửi và khác,-,(628.551.094.630),628.551.094.630,-,-,,,-628551094630.0,628551094630.0,,
Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Lãi hợp đồng quản lý tiền gửi phải trả và khác,-,(351.974.946),351.974.946,-,(351.974.946),,,-351974946.0,351974946.0,,-351974946.0
Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Cổ tức SSI,-,(36.600.713.000),36.600.713.000,-,-,,,-36600713000.0,36600713000.0,,
