row_label_raw,row_label_full,STT,Danh mục các khoản đầu tư,Số lượng bán Đơn vị,Giá bán bình quân VND/đơn vị,Tổng giá trị bán VND,Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,Lỗ bán chứng khoán năm nay VND,Lỗ bán chứng khoán năm trước VND,numeric__Danh mục các khoản đầu tư,numeric__Số lượng bán Đơn vị,numeric__Giá bán bình quân VND/đơn vị,numeric__Tổng giá trị bán VND,numeric__Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,numeric__Lỗ bán chứng khoán năm nay VND,numeric__Lỗ bán chứng khoán năm trước VND
II,II,II,Lỗ BÁN,Lỗ BÁN,Lỗ BÁN,Lỗ BÁN,Lỗ BÁN,Lỗ BÁN,Lỗ BÁN,,,,,,,
1,II > 1,1,Cổ phiếu và chứng khoán niêm yết,286.465.682,,6.175.740.173.583,6.771.278.424.996,(595.538.251.413),(397.935.307.471),,286465682.0,,6175740173583.0,6771278424996.0,-595538251413.0,-397935307471.0
1,II > 1,1,ELC,4.225.400,14.372,60.729.348.000,89.759.291.923,(29.029.943.923),(69.315.186.517),,4225400.0,14372.0,60729348000.0,89759291923.0,-29029943923.0,-69315186517.0
1,II > 1,1,HPG,13.677.208,45.738,625.569.941.800,676.808.479.923,(51.238.538.123),(19.558.473.594),,13677208.0,45738.0,625569941800.0,676808479923.0,-51238538123.0,-19558473594.0
1,II > 1,1,VIC,2.286.700,102.007,233.258.380.000,245.484.848.273,(12.226.468.273),(1.312.430.980),,2286700.0,102007.0,233258380000.0,245484848273.0,-12226468273.0,-1312430980.0
1,II > 1,1,VPB,5.372.800,41.570,223.347.675.000,234.121.462.279,(10.773.787.279),(3.992.085.993),,5372800.0,41570.0,223347675000.0,234121462279.0,-10773787279.0,-3992085993.0
1,II > 1,1,Chứng quyền do Công ty phát hành,169.547.070,,1.265.038.091.768,1.615.486.262.780,(350.448.171.012),(63.941.271.323),,169547070.0,,1265038091768.0,1615486262780.0,-350448171012.0,-63941271323.0
1,II > 1,1,Cổ phiếu và chứng khoán niêm yết khác,91.356.504,,3.767.796.737.015,3.909.618.079.818,(141.821.342.803),(239.815.859.064),,91356504.0,,3767796737015.0,3909618079818.0,-141821342803.0,-239815859064.0
2,II > 2,2,Cổ phiếu và Chứng chỉ quỹ chưa niêm yết,425.571,,33.995.462.622,34.668.183.980,(672.721.358),-,,425571.0,,33995462622.0,34668183980.0,-672721358.0,
3,II > 3,3,Trái phiếu niêm yết,80.600.000,,8.417.962.500.000,8.421.249.000.000,(3.286.500.000),(2.375.550.000),,80600000.0,,8417962500000.0,8421249000000.0,-3286500000.0,-2375550000.0
4,II > 4,4,Trái phiếu và chứng khoán chưa niêm yết,12.189,,10.574.900.751.373,10.657.955.210.553,(83.054.459.180),(48.630.734.070),,12189.0,,10574900751373.0,10657955210553.0,-83054459180.0,-48630734070.0
5,II > 5,5,Lỗ vị thế của hợp đồng CKPS,-,,-,-,(312.210.422.000),(87.531.037.000),,,,,,-312210422000.0,-87531037000.0
5,II > 5,5,Tổng cộng,367.503.442,,25.202.598.887.578,25.885.150.819.529,(994.762.353.951),(536.472.628.541),,367503442.0,,25202598887578.0,25885150819529.0,-994762353951.0,-536472628541.0
