row_label_raw,row_label_full,Năm 2021,Môi giới và dịch vụ khách hàng (1) > Năm 2021,Tự doanh > Năm 2021,Kinh doanh nguồn vốn > Năm 2021,Ngân hàng đầu tư và các bộ phận khác > Năm 2021,Đơn vị tính: VND Tổng cộng > Năm 2021,numeric__Môi giới và dịch vụ khách hàng (1) > Năm 2021,numeric__Tự doanh > Năm 2021,numeric__Kinh doanh nguồn vốn > Năm 2021,numeric__Ngân hàng đầu tư và các bộ phận khác > Năm 2021,numeric__Đơn vị tính: VND Tổng cộng > Năm 2021
1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,4.144.493.404.973,2.702.798.103.306,838.011.144.731,87.319.684.519,7.772.622.337.529,4144493404973.0,2702798103306.0,838011144731.0,87319684519.0,7772622337529.0
2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,2.077.197.565.241,1.711.762.487.346,357.691.861.791,56.040.276.930,4.202.692.191.308,2077197565241.0,1711762487346.0,357691861791.0,56040276930.0,4202692191308.0
3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,173.088.071.228,23.337.717.469,15.558.478.312,31.116.956.624,243.101.223.633,173088071228.0,23337717469.0,15558478312.0,31116956624.0,243101223633.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,1.894.207.768.504,967.697.898.491,464.760.804.628,162.450.965,3.326.828.922.588,1894207768504.0,967697898491.0,464760804628.0,162450965.0,3326828922588.0
Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,,,,,
1. Tài sản bộ phận,Số dư tại ngày 31 tháng 12 năm 2021 > 1. Tài sản bộ phận,1. Tài sản bộ phận,23.704.430.505.996,14.459.688.437.290,11.510.588.129.804,16.670.350.486,49.691.377.423.576,23704430505996.0,14459688437290.0,11510588129804.0,16670350486.0,49691377423576.0
2. Tài sản phân bổ,Số dư tại ngày 31 tháng 12 năm 2021 > 2. Tài sản phân bổ,2. Tài sản phân bổ,245.306.802.671,33.075.074.518,22.050.049.678,44.100.099.357,344.532.026.224,245306802671.0,33075074518.0,22050049678.0,44100099357.0,344532026224.0
3. Tài sản không phân bổ,Số dư tại ngày 31 tháng 12 năm 2021 > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,-,-,-,-,323.132.187.208,,,,,323132187208.0
Tổng tài sản,Số dư tại ngày 31 tháng 12 năm 2021 > Tổng tài sản,Tổng tài sản,23.949.737.308.667,14.492.763.511.808,11.532.638.179.482,60.770.449.843,50.359.041.637.008,23949737308667.0,14492763511808.0,11532638179482.0,60770449843.0,50359041637008.0
4. Nợ phải trả bộ phận,Số dư tại ngày 31 tháng 12 năm 2021 > 4. Nợ phải trả bộ phận,4. Nợ phải trả bộ phận,18.748.969.256.620,6.865.135.942.822,10.059.273.937.233,8.038.043.098,35.681.417.179.773,18748969256620.0,6865135942822.0,10059273937233.0,8038043098.0,35681417179773.0
5. Nợ phân bổ,Số dư tại ngày 31 tháng 12 năm 2021 > 5. Nợ phân bổ,5. Nợ phân bổ,263.084.742.937,35.472.100.171,23.648.066.781,47.296.133.562,369.501.043.451,263084742937.0,35472100171.0,23648066781.0,47296133562.0,369501043451.0
6. Nợ không phân bổ,Số dư tại ngày 31 tháng 12 năm 2021 > 6. Nợ không phân bổ,6. Nợ không phân bổ,-,-,-,-,421.136.001.727,,,,,421136001727.0
Tổng công nợ,Số dư tại ngày 31 tháng 12 năm 2021 > Tổng công nợ,Tổng công nợ,19.012.053.999.557,6.900.608.042.993,10.082.922.004.014,55.334.176.660,36.472.054.224.951,19012053999557.0,6900608042993.0,10082922004014.0,55334176660.0,36472054224951.0
