row_label_raw,row_label_full,Các loại tải sân tài chính,Số cuối năm > Giá mua/Giá gốc,Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,Số cuối năm > Giá trị đánh giá lại,Số đầu năm > Giá mua/Giá gốc,Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,Số đầu năm > Giá trị đánh giá lại,numeric__Số cuối năm > Giá mua/Giá gốc,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số cuối năm > Giá trị đánh giá lại,numeric__Số đầu năm > Giá mua/Giá gốc,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số đầu năm > Giá trị đánh giá lại
FVTPL,FVTPL,FVTPL,11.752.764.633.922,42.657.244.536,(48.337.548.859),11.747.084.329.599,13.173.199.979.211,120.030.830.343,(85.317.319.053),13.207.913.490.501,11752764633922.0,42657244536.0,-48337548859.0,11747084329599.0,13173199979211.0,120030830343.0,-85317319053.0,13207913490501.0
Cổ phiếu và chứng khoán niêm yết,Cổ phiếu và chứng khoán niêm yết,Cổ phiếu và chứng khoán niêm yết,1.009.557.613.272,32.012.288.313,(15.301.274.325),1.026.268.627.260,1.482.733.518.173,92.770.039.976,(65.551.634.669),1.509.951.923.480,1009557613272.0,32012288313.0,-15301274325.0,1026268627260.0,1482733518173.0,92770039976.0,-65551634669.0,1509951923480.0
Cổ phiếu niêm yết cho hoạt động phòng ngừa rủi ro của chứng quyền,Cổ phiếu niêm yết cho hoạt động phòng ngừa rủi ro của chứng quyền,Cổ phiếu niêm yết cho hoạt động phòng ngừa rủi ro của chứng quyền,756.070.971.658,10.644.956.223,(13.225.591.381),753.490.336.500,497.988.719.529,27.260.790.367,(208.766.296),525.040.743.600,756070971658.0,10644956223.0,-13225591381.0,753490336500.0,497988719529.0,27260790367.0,-208766296.0,525040743600.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,54.339.454.020,-,(19.810.683.153),34.528.770.867,54.082.228.373,-,(19.556.918.088),34.525.310.285,54339454020.0,,-19810683153.0,34528770867.0,54082228373.0,,-19556918088.0,34525310285.0
Trải phiếu niêm yết,Trải phiếu niêm yết,Trải phiếu niêm yết,100.074.600.000,-,-,100.074.600.000,-,-,-,-,100074600000.0,,,100074600000.0,,,,
Trải phiếu chưa niêm yết,Trải phiếu chưa niêm yết,Trải phiếu chưa niêm yết,3.109.933.782.682,-,-,3.109.933.782.682,2.274.447.114.683,-,-,2.274.447.114.683,3109933782682.0,,,3109933782682.0,2274447114683.0,,,2274447114683.0
Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,6.722.788.212.290,-,-,6.722.788.212.290,8.863.948.398.453,-,-,8.863.948.398.453,6722788212290.0,,,6722788212290.0,8863948398453.0,,,8863948398453.0
AFS,AFS,AFS,276.320.839.155,-,(4.741.291.386),271.579.547.769,188.022.664.703,-,(4.741.291.385),183.281.373.318,276320839155.0,,-4741291386.0,271579547769.0,188022664703.0,,-4741291385.0,183281373318.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,276.320.839.155,-,(4.741.291.386),271.579.547.769,188.022.664.703,-,(4.741.291.385),183.281.373.318,276320839155.0,,-4741291386.0,271579547769.0,188022664703.0,,-4741291385.0,183281373318.0
Tổng cộng,Tổng cộng,Tổng cộng,12.029.085.473.077,42.657.244.536,(53.078.840.245),12.018.663.877.368,13.361.222.643.914,120.030.830.343,(90.058.610.438),13.391.194.863.819,12029085473077.0,42657244536.0,-53078840245.0,12018663877368.0,13361222643914.0,120030830343.0,-90058610438.0,13391194863819.0
