row_label_raw,row_label_full,STT,Chỉ tiêu,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vị tính: VND,numeric__Chỉ tiêu,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND
I,I,I,Thuế,109.918.854.129,1.615.806.864.431,1.375.246.224.683,350.479.493.877,,109918854129.0,1615806864431.0,1375246224683.0,350479493877.0
1,1,1,Thuế giả trị gia tăng,566.316.748,8.847.134.446,7.576.991.920,1.836.459.274,,566316748.0,8847134446.0,7576991920.0,1836459274.0
2,2,2,Thuế thu nhập doanh nghiệp(Thuyết minh số 39.1),54.641.407.497,636.030.358.257,468.473.021.576,222.198.744.178,,54641407497.0,636030358257.0,468473021576.0,222198744178.0
3,3,3,Các loại thuế khác,54.711.129.884,970.929.371.728,899.196.211.187,126.444.290.425,,54711129884.0,970929371728.0,899196211187.0,126444290425.0
3,3,3,Thuế thu nhập cá nhân,15.299.438.679,193.981.696.775,182.081.194.663,27.199.940.791,,15299438679.0,193981696775.0,182081194663.0,27199940791.0
3,3,3,Thuế thu nhập cá nhân nộp hộ nhà đầu tư,34.418.034.029,686.307.365.775,629.594.961.671,91.130.438.133,,34418034029.0,686307365775.0,629594961671.0,91130438133.0
3,3,3,Thuế môn bài,-,15.000.000,15.000.000,-,,,15000000.0,15000000.0,
3,3,3,Thuế khác (thuế nhà thầu),4.993.657.176,90.625.309.178,87.505.054.853,8.113.911.501,,4993657176.0,90625309178.0,87505054853.0,8113911501.0
II,II,II,Các khoản phải nộp khác,-,1.464.419,1.464.419,-,,,1464419.0,1464419.0,
II,II,II,Tổng cộng,109.918.854.129,1.615.808.328.850,1.375.247.689.102,350.479.493.877,,109918854129.0,1615808328850.0,1375247689102.0,350479493877.0
