row_label_raw,row_label_full,CHỈ TIÊU,Thuyết minh,Số dư đầu năm > Ngày 1 tháng 1 năm 2020 > VND,Số dư đầu năm > Ngày 1 tháng 1 năm 2021 > VND,Số tăng/giảm > Năm trước > Tăng > VND,Số tăng/giảm > Năm trước > Giảm > VND,Số tăng/giảm > Năm nay > Tăng > VND,Số tăng/giảm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2020 > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2021 > VND,numeric__Thuyết minh,numeric__Số dư đầu năm > Ngày 1 tháng 1 năm 2020 > VND,numeric__Số dư đầu năm > Ngày 1 tháng 1 năm 2021 > VND,numeric__Số tăng/giảm > Năm trước > Tăng > VND,numeric__Số tăng/giảm > Năm trước > Giảm > VND,numeric__Số tăng/giảm > Năm nay > Tăng > VND,numeric__Số tăng/giảm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2020 > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2021 > VND
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. BIÊN ĐỘNG VỐN CHỦ SỐ HỮU,I. BIÊN ĐỘNG VỐN CHỦ SỐ HỮU,I. BIÊN ĐỘNG VỐN CHỦ SỐ HỮU,,,,,,,,,,,,,,,,,,
1. Vốn đầu tư của chủ sở hữu,I. BIÊN ĐỘNG VỐN CHỦ SỐ HỮU > 1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,,5.224.760.213.535,6.138.044.019.034,913.283.805.499,-,4.634.136.014.323,(129.494.592.722),6.138.044.019.034,10.642.685.440.635,,5224760213535.0,6138044019034.0,913283805499.0,,4634136014323.0,-129494592722.0,6138044019034.0,10642685440635.0
1.1. Cổ phiếu phổ thông,I. BIÊN ĐỘNG VỐN CHỦ SỐ HỮU > 1.1. Cổ phiếu phổ thông,1.1. Cổ phiếu phổ thông,,5.100.636.840.000,6.029.456.130.000,928.819.290.000,-,3.818.044.090.000,-,6.029.456.130.000,9.847.500.220.000,,5100636840000.0,6029456130000.0,928819290000.0,,3818044090000.0,,6029456130000.0,9847500220000.0
1.2. Thăng dư vốn cổ phần,I. BIÊN ĐỘNG VỐN CHỦ SỐ HỮU > 1.2. Thăng dư vốn cổ phần,1.2. Thăng dư vốn cổ phần,,29.470.756.034,29.470.756.034,-,-,817.241.683.373,(29.543.306.034),29.470.756.034,817.169.133.373,,29470756034.0,29470756034.0,,,817241683373.0,-29543306034.0,29470756034.0,817169133373.0
1.3. Quyền chọn chuyển đổi trái phiếu – Cấu phần vốn,1.3. Quyền chọn chuyển đổi trái phiếu – Cấu phần vốn,1.3. Quyền chọn chuyển đổi trái phiếu – Cấu phần vốn,,113.779.095.785(19.126.478.284),113.779.095.785(34.661.962.785),-,-,-,(113.779.095.785)13.827.809.097,113.779.095.785(34.661.962.785),- (21.983.912.738),,,,,,,,,
1.4. Cổ phiếu quỹ,1.3. Quyền chọn chuyển đổi trái phiếu – Cấu phần vốn > 1.4. Cổ phiếu quỹ,1.4. Cổ phiếu quỹ,,,,(15.535.484.501),-,(1.149.759.050),,,,,,,-15535484501.0,,-1149759050.0,,,
2. Quỹ dự trữ bổ sung vốn điều lệ,1.3. Quyền chọn chuyển đổi trái phiếu – Cấu phần vốn > 2. Quỹ dự trữ bổ sung vốn điều lệ,2. Quỹ dự trữ bổ sung vốn điều lệ,,474.303.674.335,519.187.344.649,44.883.670.314,-,58.252.419.507,(519.187.344.649),519.187.344.649,58.252.419.507,,474303674335.0,519187344649.0,44883670314.0,,58252419507.0,-519187344649.0,519187344649.0,58252419507.0
3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,1.3. Quyền chọn chuyển đổi trái phiếu – Cấu phần vốn > 3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,,389.796.079.651,434.679.749.965,44.883.670.314,-,58.252.419.507,-,434.679.749.965,492.932.169.472,,389796079651.0,434679749965.0,44883670314.0,,58252419507.0,,434679749965.0,492932169472.0
4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,1.3. Quyền chọn chuyển đổi trái phiếu – Cấu phần vốn > 4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,,260.974.419.033,(3.793.033.106),30.309.756.224,(295.077.208.363),-,-,(3.793.033.106),(3.793.033.106),,260974419033.0,-3793033106.0,30309756224.0,-295077208363.0,,,-3793033106.0,-3793033106.0
