row_label_raw,row_label_full,col_0,Máy móc thiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,numeric__Máy móc thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Ngày 1 tháng 1 năm 2021,Nguyên giá > Ngày 1 tháng 1 năm 2021,Ngày 1 tháng 1 năm 2021,198.430.832.429,26.553.473.300,1.949.946.289,226.934.252.018,198430832429.0,26553473300.0,1949946289.0,226934252018.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,73.071.668.489,-,233.585.284,73.305.253.773,73071668489.0,,233585284.0,73305253773.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(3.717.448.587),(2.206.689.500),-,(5.924.138.087),-3717448587.0,-2206689500.0,,-5924138087.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.717.448.587),(2.206.689.500),-,(5.924.138.087),-3717448587.0,-2206689500.0,,-5924138087.0
Ngày 31 tháng 12 năm 2021,Nguyên giá > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,267.785.052.331,24.346.783.800,2.183.531.573,294.315.367.704,267785052331.0,24346783800.0,2183531573.0,294315367704.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Ngày 1 tháng 1 năm 2021,Giá trị hao mòn lũy kế > Ngày 1 tháng 1 năm 2021,Ngày 1 tháng 1 năm 2021,116.447.434.839,11.289.884.327,976.374.822,128.713.693.988,116447434839.0,11289884327.0,976374822.0,128713693988.0
Tăng trong năm,Giá trị hao mòn lũy kế > Tăng trong năm,Tăng trong năm,33.766.952.144,2.424.135.472,518.727.436,36.709.815.052,33766952144.0,2424135472.0,518727436.0,36709815052.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,33.766.952.144,2.424.135.472,518.727.436,36.709.815.052,33766952144.0,2424135472.0,518727436.0,36709815052.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(3.705.391.363),(2.206.689.500),-,(5.912.080.863),-3705391363.0,-2206689500.0,,-5912080863.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.705.391.363),(2.206.689.500),-,(5.912.080.863),-3705391363.0,-2206689500.0,,-5912080863.0
Ngày 31 tháng 12 năm 2021,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,146.508.995.620,11.507.330.299,1.495.102.258,159.511.428.177,146508995620.0,11507330299.0,1495102258.0,159511428177.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Ngày 1 tháng 1 năm 2021,Giá trị còn lại > Ngày 1 tháng 1 năm 2021,Ngày 1 tháng 1 năm 2021,81.983.397.590,15.263.588.973,973.571.467,98.220.558.030,81983397590.0,15263588973.0,973571467.0,98220558030.0
Ngày 31 tháng 12 năm 2021,Giá trị còn lại > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,121.276.056.711,12.839.453.501,688.429.315,134.803.939.527,121276056711.0,12839453501.0,688429315.0,134803939527.0
