row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Năm nay,Đơn vị: VND > Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Năm nay,numeric__Đơn vị: VND > Năm trước
III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1.,1.,Tiền thu từ đi vay,33,1.392.381.255.212,1.381.261.865.566,,33.0,1392381255212.0,1381261865566.0
2.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2.,2.,Tiền trả nợ gốc vay,34,(2.075.186.342.730),(1.504.930.606.538),,34.0,-2075186342730.0,-1504930606538.0
3.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3.,3.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(948.281.198.160),(425.324.592.700),,36.0,-948281198160.0,-425324592700.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(1.631.086.285.678),(548.993.333.672),,40.0,-1631086285678.0,-548993333672.0
,,,Lưu chuyển tiền thuần trong năm (50=20+30+40),50,1.715.767.759.123,(82.391.196.727),,50.0,1715767759123.0,-82391196727.0
,,,Tiền đầu năm,60,427.652.730.904,509.995.350.873,,60.0,427652730904.0,509995350873.0
,,,Ảnh hưởng của thay đối tỷ giá hối đoái quy đổi ngoại tệ,61,(17.795.198.467),48.576.758,,61.0,-17795198467.0,48576758.0
,,,Tiền cuối năm (70=50+60+61),70,2.125.625.291.560,427.652.730.904,,70.0,2125625291560.0,427652730904.0
Đàm Thị Thúy AnNgười lập biểu,Đàm Thị Thúy AnNgười lập biểu,Đàm Thị Thúy AnNgười lập biểu,Đàm Thị Thúy AnNgười lập biểu,Đinh Như CườngKế toán trường,Lê Ngọc Minh TríPhó Tổng Giám đốc,Lê Ngọc Minh TríPhó Tổng Giám đốc,,,,
