row_label_raw,row_label_full,Năm nay,Nội địa > VND,Nước ngoài > VND,Tổng cộng > VND,numeric__Nội địa > VND,numeric__Nước ngoài > VND,numeric__Tổng cộng > VND
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,9.528.104.776.878,6.396.422.097.521,15.924.526.874.399,9528104776878.0,6396422097521.0,15924526874399.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,(6.530.911.692.179),(3.690.185.740.052),(10.221.097.432.231),-6530911692179.0,-3690185740052.0,-10221097432231.0
Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,2.997.193.084.699,2.706.236.357.469,5.703.429.442.168,2997193084699.0,2706236357469.0,5703429442168.0
Chi phí hoạt động chung,Chi phí hoạt động chung,Chi phí hoạt động chung,,,(1.350.889.132.605),,,-1350889132605.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,301.008.063.317,,,301008063317.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,(60.402.056.552),,,-60402056552.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,15.225.626.021,,,15225626021.0
Chi phí khác,Chi phí khác,Chi phí khác,,,(12.059.177.506),,,-12059177506.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,4.596.312.764.843,,,4596312764843.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,(269.999.355.705),,,-269999355705.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,(5.232.674.603),,,-5232674603.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,4.321.080.734.535,,,4321080734535.0
Năm trước,Năm trước,Năm trước,Nội địa,Nước ngoài,Tổng cộng,,,
Năm trước,Năm trước,Năm trước,VND,VND,VND,,,
Doanh thu thuần,Năm trước > Doanh thu thuần,Doanh thu thuần,7.823.837.890.008,2.045.925.014.629,9.869.762.904.637,7823837890008.0,2045925014629.0,9869762904637.0
Giá vốn hàng bán và cung cấp dịch vụ,Năm trước > Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,(5.587.228.520.064),(1.501.597.460.261),(7.088.825.980.325),-5587228520064.0,-1501597460261.0,-7088825980325.0
Lợi nhuận kinh doanh theo bộ phận,Năm trước > Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,2.236.609.369.944,544.327.554.368,2.780.936.924.312,2236609369944.0,544327554368.0,2780936924312.0
Chi phí hoạt động chung,Năm trước > Chi phí hoạt động chung,Chi phí hoạt động chung,,,(948.892.990.459),,,-948892990459.0
Doanh thu hoạt động tài chính,Năm trước > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,167.531.907.804,,,167531907804.0
Chi phí tài chính,Năm trước > Chi phí tài chính,Chi phí tài chính,,,(45.072.929.624),,,-45072929624.0
Thu nhập khác,Năm trước > Thu nhập khác,Thu nhập khác,,,4.371.195.381,,,4371195381.0
Chi phí khác,Năm trước > Chi phí khác,Chi phí khác,,,(2.604.118.573),,,-2604118573.0
Lợi nhuận trước thuế,Năm trước > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,1.956.269.988.841,,,1956269988841.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Năm trước > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,(138.029.455.566),,,-138029455566.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Năm trước > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,7.883.753.661,,,7883753661.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Năm trước > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,1.826.124.286.936,,,1826124286936.0
