row_label_raw,row_label_full,col_0,Số đầu năm,Số phải thu/nộptrong năm,Số đã thựcthư/nộptrong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải thu/nộptrong năm,numeric__Số đã thựcthư/nộptrong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế giá trị gia tăng,a. Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,104.855.724,-,-,104.855.724,104855724.0,,,104855724.0
Tiền thuê đất,a. Các khoản phải thu > Tiền thuê đất,Tiền thuê đất,397.346.605,157.591.158,157.591.158,397.346.605,397346605.0,157591158.0,157591158.0,397346605.0
,,,502.202.329,157.591.158,157.591.158,502.202.329,502202329.0,157591158.0,157591158.0,502202329.0
b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,,,,
Thuế giá trị gia tăng,b. Các khoản phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,393.705.130,8.234.341.280,7.480.383.891,1.147.662.519,393705130.0,8234341280.0,7480383891.0,1147662519.0
Thuế thu nhập doanh nghiệp,b. Các khoản phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,86.122.729.515,269.999.355.705,294.531.395.503,61.590.689.717,86122729515.0,269999355705.0,294531395503.0,61590689717.0
Thuế tài nguyên,b. Các khoản phải nộp > Thuế tài nguyên,Thuế tài nguyên,216.306.450,2.545.121.250,2.532.424.500,229.003.200,216306450.0,2545121250.0,2532424500.0,229003200.0
Thuế xuất khẩu,b. Các khoản phải nộp > Thuế xuất khẩu,Thuế xuất khẩu,-,304.666.400.185,304.666.400.185,-,,304666400185.0,304666400185.0,
Thuế nhập khẩu,b. Các khoản phải nộp > Thuế nhập khẩu,Thuế nhập khẩu,-,2.734.982.556,2.734.982.556,-,,2734982556.0,2734982556.0,
Thuế môn bài,b. Các khoản phải nộp > Thuế môn bài,Thuế môn bài,-,4.000.000,4.000.000,-,,4000000.0,4000000.0,
Thuế thu nhập cá nhân,b. Các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,8.001.497.801,87.690.821.001,87.176.030.685,8.516.288.117,8001497801.0,87690821001.0,87176030685.0,8516288117.0
Thuế khác,b. Các khoản phải nộp > Thuế khác,Thuế khác,4.104.000,1.390.992.849,1.395.096.849,-,4104000.0,1390992849.0,1395096849.0,
Các khoản phải nộp khác,b. Các khoản phải nộp > Các khoản phải nộp khác,Các khoản phải nộp khác,-,1.921.316.000,1.921.316.000,-,,1921316000.0,1921316000.0,
,,,94.738.342.896,679.187.330.826,702.442.030.169,71.483.643.553,94738342896.0,679187330826.0,702442030169.0,71483643553.0
