row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Vốn khác của chủ sở hữu VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,5.294.000.000.000,3.665.420.000,418.967.418.595,583.467.405.249,26.347.426.104,6.326.447.669.948,5294000000000.0,3665420000.0,418967418595.0,583467405249.0,26347426104.0,6326447669948.0
Điều chỉnh lợi nhuận liên quan đến cổ phần hóa,Điều chỉnh lợi nhuận liên quan đến cổ phần hóa,Điều chỉnh lợi nhuận liên quan đến cổ phần hóa,-,-,-,(52.267.239.293),-,(52.267.239.293),,,,-52267239293.0,,-52267239293.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,1.823.459.057.715,2.665.229.221,1.826.124.286.936,,,,1823459057715.0,2665229221.0,1826124286936.0
Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,-,-,546.890.854.637,(546.890.854.637),-,-,,,546890854637.0,-546890854637.0,,
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,(196.791.613.890),(544.191.615),(197.335.805.505),,,,-196791613890.0,-544191615.0,-197335805505.0
"Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020",-,-,-,528.642.500,-,528.642.500,,,,528642500.0,,528642500.0
Chia cổ tức từ lợi nhuận năm 2020,Chia cổ tức từ lợi nhuận năm 2020,Chia cổ tức từ lợi nhuận năm 2020,-,-,-,(423.520.000.000),(1.880.279.200),(425.400.279.200),,,,-423520000000.0,-1880279200.0,-425400279200.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,5.294.000.000.000,3.665.420.000,965.858.273.232,1.187.985.397.644,26.588.184.510,7.478.097.275.386,5294000000000.0,3665420000.0,965858273232.0,1187985397644.0,26588184510.0,7478097275386.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,4.315.953.289.589,5.127.444.946,4.321.080.734.535,,,,4315953289589.0,5127444946.0,4321080734535.0
Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),-,-,1.294.326.729.747,(1.294.326.729.747),-,-,,,1294326729747.0,-1294326729747.0,,
"Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)",-,-,-,(238.792.109.402),(574.497.349),(239.366.606.751),,,,-238792109402.0,-574497349.0,-239366606751.0
"Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2021","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2021","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2021",-,-,-,555.210.000,-,555.210.000,,,,555210000.0,,555210000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(952.920.000.000),(1.997.796.650),(954.917.796.650),,,,-952920000000.0,-1997796650.0,-954917796650.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,5.294.000.000.000,3.665.420.000,2.260.185.002.979,3.018.455.058.084,29.143.335.457,10.605.448.816.520,5294000000000.0,3665420000.0,2260185002979.0,3018455058084.0,29143335457.0,10605448816520.0
