row_label_raw,row_label_full,col_0,Nhà xuǒngvà vǎt kiěn trúc,Máy mócvà thiết bị,Thiết bịvǎn phòng,Phuǒng tiēn vāntài và thiết bịtruyèn dǎn,Tài sàn cố địnhhǔ huình khác,Tổng,numeric__Nhà xuǒngvà vǎt kiěn trúc,numeric__Máy mócvà thiết bị,numeric__Thiết bịvǎn phòng,numeric__Phuǒng tiēn vāntài và thiết bịtruyèn dǎn,numeric__Tài sàn cố địnhhǔ huình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,3.870.983.915.616,11.000.174.748.191,93.193.685.296,80.328.283.678,59.369.973.815,15.104.050.606.596,3870983915616.0,11000174748191.0,93193685296.0,80328283678.0,59369973815.0,15104050606596.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,6.802.479.863,16.411.507.318,29.268.802.489,6.627.290.136,-,59.110.079.806,6802479863.0,16411507318.0,29268802489.0,6627290136.0,,59110079806.0
Đầu tư xây dựng cơ bản hoànthành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoànthành,Đầu tư xây dựng cơ bản hoànthành,10.235.063.124,106.709.630.353,-,-,-,116.944.693.477,10235063124.0,106709630353.0,,,,116944693477.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.132.357.515),-,(5.035.212.040),-,(9.167.569.555),,-4132357515.0,,-5035212040.0,,-9167569555.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,3.888.021.458.603,11.119.163.528.347,122.462.487.785,81.920.361.774,59.369.973.815,15.270.937.810.324,3888021458603.0,11119163528347.0,122462487785.0,81920361774.0,59369973815.0,15270937810324.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,2.894.220.840.747,8.696.644.176.433,65.195.329.003,62.610.827.476,18.691.346.131,11.737.362.519.790,2894220840747.0,8696644176433.0,65195329003.0,62610827476.0,18691346131.0,11737362519790.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,335.927.697.294,1.036.636.876.807,5.846.726.142,4.550.009.788,136.601.881,1.383.097.911.912,335927697294.0,1036636876807.0,5846726142.0,4550009788.0,136601881.0,1383097911912.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.132.357.515),-,(5.035.212.040),-,(9.167.569.555),,-4132357515.0,,-5035212040.0,,-9167569555.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.230.148.538.041,9.729.148.695.725,71.042.055.145,62.125.625.224,18.827.948.012,13.111.292.862.147,3230148538041.0,9729148695725.0,71042055145.0,62125625224.0,18827948012.0,13111292862147.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,976.763.074.869,2.303.530.571.758,27.998.356.293,17.717.456.202,40.678.627.684,3.366.688.086.806,976763074869.0,2303530571758.0,27998356293.0,17717456202.0,40678627684.0,3366688086806.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,657.872.920.562,1.390.014.832.622,51.420.432.640,19.794.736.550,40.542.025.803,2.159.644.948.177,657872920562.0,1390014832622.0,51420432640.0,19794736550.0,40542025803.0,2159644948177.0
