row_label_raw,row_label_full,Chênh lệch giá trị tiêm năng phát triển (Thuyết minh số 09),Số cuối nămVND > 261.059.472.455,Số đầu nămVND > 261.059.472.455,numeric__Số cuối nămVND > 261.059.472.455,numeric__Số đầu nămVND > 261.059.472.455
Quỹ thường an toàn,Quỹ thường an toàn,Quỹ thường an toàn,8.203.839.325,6.572.097.546,8203839325.0,6572097546.0
"Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",4.715.671.218,1.773.807.531,4715671218.0,1773807531.0
Chi phí hoa hồng cho bán hàng,Chi phí hoa hồng cho bán hàng,Chi phí hoa hồng cho bán hàng,3.888.965.136,13.241.390.131,3888965136.0,13241390131.0
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,921.545.907,1.084.145.917,921545907.0,1084145917.0
Phải trả Ban Quản lý Dự án Khí - Điện - Đạm Cà Mau,Phải trả Ban Quản lý Dự án Khí - Điện - Đạm Cà Mau,Phải trả Ban Quản lý Dự án Khí - Điện - Đạm Cà Mau,-,55.851.413.429,,55851413429.0
Chi phí an sinh xã hội,Chi phí an sinh xã hội,Chi phí an sinh xã hội,-,15.000.000.000,,15000000000.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,25.347.633.667,31.915.196.829,25347633667.0,31915196829.0
,,,304.137.127.708,386.497.523.838,304137127708.0,386497523838.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn khác các bên liên quan(chi tiết tại Thuyết minh số 36),Trong đó: > Phải trả ngắn hạn khác các bên liên quan(chi tiết tại Thuyết minh số 36),Phải trả ngắn hạn khác các bên liên quan(chi tiết tại Thuyết minh số 36),1.064.065.018,69.135.087.341,1064065018.0,69135087341.0
