row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > VND,Trong năm > Tăng,Trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > VND,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND
Vay dài hạn,Vay dài hạn,Vay dài hạn,137.725.294.868,137.725.294.868,1.075.350.000,135.192.757.836,3.607.887.032,3.607.887.032,137725294868.0,137725294868.0,1075350000.0,135192757836.0,3607887032.0,3607887032.0
Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,131.787.453.586,131.787.453.586,-,131.787.453.586,-,-,131787453586.0,131787453586.0,,131787453586.0,,
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Bạc Liêu (i),Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Bạc Liêu (i),Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Bạc Liêu (i),5.937.841.282,5.937.841.282,1.075.350.000,3.405.304.250,3.607.887.032,3.607.887.032,5937841282.0,5937841282.0,1075350000.0,3405304250.0,3607887032.0,3607887032.0
,,,137.725.294.868,137.725.294.868,1.075.350.000,135.192.757.836,3.607.887.032,3.607.887.032,137725294868.0,137725294868.0,1075350000.0,135192757836.0,3607887032.0,3607887032.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
- Số phải trả trong vòng 12 tháng,Trong đó: > - Số phải trả trong vòng 12 tháng,- Số phải trả trong vòng 12 tháng,135.048.951.336,,,,2.559.405.532,,135048951336.0,,,,2559405532.0,
- Số phải trả sau 12 tháng,Trong đó: > - Số phải trả sau 12 tháng,- Số phải trả sau 12 tháng,2.676.343.532,,,,1.048.481.500,,2676343532.0,,,,1048481500.0,
