row_label_raw,row_label_full,Cổ phiếu phổ thông đã phát hành đầu năm,Năm 2015Số lượng cổ phiếu > 57.364.241,Năm 2014(trình bày lại)Số lượng cổ phiếu > 38.249.948,numeric__Năm 2015Số lượng cổ phiếu > 57.364.241,numeric__Năm 2014(trình bày lại)Số lượng cổ phiếu > 38.249.948
Ảnh hưởng của việc trả cổ tức bằng CP,Ảnh hưởng của việc trả cổ tức bằng CP,Ảnh hưởng của việc trả cổ tức bằng CP,16.835.630,24.485.580,16835630.0,24485580.0
Ảnh hưởng của việc phát hành cổ phiếu tăng trong năm,Ảnh hưởng của việc phát hành cổ phiếu tăng trong năm,Ảnh hưởng của việc phát hành cổ phiếu tăng trong năm,66.204.260,3.630.375,66204260.0,3630375.0
Số cổ phiếu phổ thông bình quân gia quyền đang lưu hành,Số cổ phiếu phổ thông bình quân gia quyền đang lưu hành,Số cổ phiếu phổ thông bình quân gia quyền đang lưu hành,140.404.131,66.365.903,140404131.0,66365903.0
