row_label_raw,row_label_full,Tại 31/12/2015,Dưới 1 nămVND > Tại 31/12/2015,Từ 1 - 5 nămVND > Tại 31/12/2015,TổngVND > Tại 31/12/2015,numeric__Dưới 1 nămVND > Tại 31/12/2015,numeric__Từ 1 - 5 nămVND > Tại 31/12/2015,numeric__TổngVND > Tại 31/12/2015
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.171.668.961.521,-,1.171.668.961.521,1171668961521.0,,1171668961521.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,34.964.901.705,-,34.964.901.705,34964901705.0,,34964901705.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,576.886.985.528,576.886.985.528,,576886985528.0,576886985528.0
Cộng,Cộng,Cộng,1.206.633.863.226,576.886.985.528,1.783.520.848.754,1206633863226.0,576886985528.0,1783520848754.0
Tại 31/12/2015,Tại 31/12/2015,Tại 31/12/2015,Tại 31/12/2015,Tại 31/12/2015,Tại 31/12/2015,,,
Các khoản vay,Tại 31/12/2015 > Các khoản vay,Các khoản vay,75.000.000.000,-,75.000.000.000,75000000000.0,,75000000000.0
Phải trả người bán và phải trả khác,Tại 31/12/2015 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,48.958.710.550,-,48.958.710.550,48958710550.0,,48958710550.0
Chi phí phải trả,Tại 31/12/2015 > Chi phí phải trả,Chi phí phải trả,613.636.373,-,613.636.373,613636373.0,,613636373.0
Công nợ tài chính khác,Tại 31/12/2015 > Công nợ tài chính khác,Công nợ tài chính khác,1.526.779.294,-,1.526.779.294,1526779294.0,,1526779294.0
Cộng,Tại 31/12/2015 > Cộng,Cộng,126.099.126.217,-,126.099.126.217,126099126217.0,,126099126217.0
Chênh lệch thanh khoản thuần,Tại 31/12/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.080.534.737.009,576.886.985.528,1.657.421.722.537,1080534737009.0,576886985528.0,1657421722537.0
,,,Dưới 1 nămVND,Từ 1 - 5 nămVND,TổngVND,,,
Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,,,
Tiền và các khoản tương đương tiền,Tại 01/01/2015 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,506.580.539.574,-,506.580.539.574,506580539574.0,,506580539574.0
Phải thu khách hàng và phải thu khác,Tại 01/01/2015 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,19.988.493.425,-,19.988.493.425,19988493425.0,,19988493425.0
Đầu tư tài chính ngắn hạn,Tại 01/01/2015 > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,448.550.000.000,-,448.550.000.000,448550000000.0,,448550000000.0
Đầu tư tài chính dài hạn,Tại 01/01/2015 > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,212.325.347.386,212.325.347.386,,212325347386.0,212325347386.0
Cộng,Tại 01/01/2015 > Cộng,Cộng,975.119.032.999,212.325.347.386,1.187.444.380.385,975119032999.0,212325347386.0,1187444380385.0
Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,,,
Phải trả người bán và phải trả khác,Tại 01/01/2015 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,640.249.723.584,-,640.249.723.584,640249723584.0,,640249723584.0
Chi phí phải trả,Tại 01/01/2015 > Chi phí phải trả,Chi phí phải trả,11.035.000.000,-,11.035.000.000,11035000000.0,,11035000000.0
Công nợ tài chính khác,Tại 01/01/2015 > Công nợ tài chính khác,Công nợ tài chính khác,14.230.000.000,-,14.230.000.000,14230000000.0,,14230000000.0
Cộng,Tại 01/01/2015 > Cộng,Cộng,665.514.723.584,-,665.514.723.584,665514723584.0,,665514723584.0
Chênh lệch thanh khoản thuần,Tại 01/01/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,309.604.309.415,212.325.347.386,521.929.656.801,309604309415.0,212325347386.0,521929656801.0
