row_label_raw,row_label_full,col_0,Phương tiệnvận tảiVND,Thiết bịquản lýVND,CộngVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại 01/01/2015,NGUYÊN GIÁ > Tại 01/01/2015,Tại 01/01/2015,5.601.974.547,343.216.798,5.945.191.345,5601974547.0,343216798.0,5945191345.0
Mua trong kỳ,NGUYÊN GIÁ > Mua trong kỳ,Mua trong kỳ,3.868.902.182,-,3.868.902.182,3868902182.0,,3868902182.0
Tăng do hợp nhất,NGUYÊN GIÁ > Tăng do hợp nhất,Tăng do hợp nhất,4.893.327.273,-,4.893.327.273,4893327273.0,,4893327273.0
Thanh lý nhượng bán,NGUYÊN GIÁ > Thanh lý nhượng bán,Thanh lý nhượng bán,(1.439.940.000),-,(1.439.940.000),-1439940000.0,,-1439940000.0
Tại 31/12/2015,NGUYÊN GIÁ > Tại 31/12/2015,Tại 31/12/2015,12.924.264.002,343.216.798,13.267.480.800,12924264002.0,343216798.0,13267480800.0
HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,,,
Tại 01/01/2015,HAO MÔN LỦY KẾ > Tại 01/01/2015,Tại 01/01/2015,414.445.087,221.185.492,635.630.579,414445087.0,221185492.0,635630579.0
Khấu hao trong kỳ,HAO MÔN LỦY KẾ > Khấu hao trong kỳ,Khấu hao trong kỳ,1.501.018.377,22.118.229,1.523.136.606,1501018377.0,22118229.0,1523136606.0
Tăng do hợp nhất,HAO MÔN LỦY KẾ > Tăng do hợp nhất,Tăng do hợp nhất,293.969.745,-,293.969.745,293969745.0,,293969745.0
Thanh lý nhượng bán,HAO MÔN LỦY KẾ > Thanh lý nhượng bán,Thanh lý nhượng bán,(401.596.170),-,(401.596.170),-401596170.0,,-401596170.0
Tại 31/12/2015,HAO MÔN LỦY KẾ > Tại 31/12/2015,Tại 31/12/2015,1.807.837.039,243.303.721,2.051.140.760,1807837039.0,243303721.0,2051140760.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại 01/01/2015,GIÁ TRỊ CÒN LẠI > Tại 01/01/2015,Tại 01/01/2015,5.187.529.460,122.031.306,5.309.560.766,5187529460.0,122031306.0,5309560766.0
Tại 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại 31/12/2015,Tại 31/12/2015,11.116.426.963,99.913.077,11.216.340.040,11116426963.0,99913077.0,11216340040.0
