row_label_raw,row_label_full,col_0,Năm 2015VND,Năm 2014(trình bày lại)VND,numeric__Năm 2015VND,numeric__Năm 2014(trình bày lại)VND
Lợi nhuận kế toán sau thuế,Lợi nhuận kế toán sau thuế,Lợi nhuận kế toán sau thuế,481.178.462.117,135.853.280.678,481178462117.0,135853280678.0
Các khoản điều chỉnh tăng hoặc giảm lợi nhuận,Các khoản điều chỉnh tăng hoặc giảm lợi nhuận,Các khoản điều chỉnh tăng hoặc giảm lợi nhuận,-,-,,
kế toán để xác định lợi nhuận hoặc lỗ phân bổ cho cổ đông sở hữu cổ phiếu,kế toán để xác định lợi nhuận hoặc lỗ phân bổ cho cổ đông sở hữu cổ phiếu,kế toán để xác định lợi nhuận hoặc lỗ phân bổ cho cổ đông sở hữu cổ phiếu,,,,
Lợi nhuận phân bổ cho cổ đông,kế toán để xác định lợi nhuận hoặc lỗ phân bổ cho cổ đông sở hữu cổ phiếu > Lợi nhuận phân bổ cho cổ đông,Lợi nhuận phân bổ cho cổ đông,481.178.462.117,135.853.280.678,481178462117.0,135853280678.0
Cổ phiếu đang lưu hành bình quân trong kỳ,kế toán để xác định lợi nhuận hoặc lỗ phân bổ cho cổ đông sở hữu cổ phiếu > Cổ phiếu đang lưu hành bình quân trong kỳ,Cổ phiếu đang lưu hành bình quân trong kỳ,140.404.131,66.365.903,140404131.0,66365903.0
Lãi cơ bản trên cổ phiếu,kế toán để xác định lợi nhuận hoặc lỗ phân bổ cho cổ đông sở hữu cổ phiếu > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,3.427,2.047,3427.0,2047.0
