row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Tổng VND,numeric__Vốn đầu tư của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng VND
Tại 01/01/2014,Tại 01/01/2014,Tại 01/01/2014,382.499.480.000,14.270.000.000,8.677.751.000,91.718.588.129,497.165.819.129,382499480000.0,14270000000.0,8677751000.0,91718588129.0,497165819129.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,114.643.430.000,-,-,-,114.643.430.000,114643430000.0,,,,114643430000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,76.499.500.000,(153.764.000),-,(76.499.500.000),(153.764.000),76499500000.0,-153764000.0,,-76499500000.0,-153764000.0
Phân phối lợi nhuận trong năm,Phân phối lợi nhuận trong năm,Phân phối lợi nhuận trong năm,-,-,4.102.500.000,(4.102.500.000),-,,,4102500000.0,-4102500000.0,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,135.853.280.678,135.853.280.678,,,,135853280678.0,135853280678.0
Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,573.642.410.000,14.116.236.000,12.780.251.000,146.969.868.807,747.508.765.807,573642410000.0,14116236000.0,12780251000.0,146969868807.0,747508765807.0
Tăng vốn trong kỳ (1),Tăng vốn trong kỳ (1),Tăng vốn trong kỳ (1),1.588.905.570.000,110.995.557.000,-,-,1.699.901.127.000,1588905570000.0,110995557000.0,,,1699901127000.0
Chia cổ tức bằng cổ phiếu (2),Chia cổ tức bằng cổ phiếu (2),Chia cổ tức bằng cổ phiếu (2),168.356.300.000,-,-,(168.356.300.000),-,168356300000.0,,,-168356300000.0,
Chia cổ tức bằng tiền (3),Chia cổ tức bằng tiền (3),Chia cổ tức bằng tiền (3),-,-,-,(168.359.798.000),(168.359.798.000),,,,-168359798000.0,-168359798000.0
Lợi nhuận trong kỳ (4),Lợi nhuận trong kỳ (4),Lợi nhuận trong kỳ (4),-,-,-,481.000.899.770,481.000.899.770,,,,481000899770.0,481000899770.0
Trích quỹ trong năm (3),Trích quỹ trong năm (3),Trích quỹ trong năm (3),-,-,6.792.664.034,(6.792.664.034),-,,,6792664034.0,-6792664034.0,
Ảnh hưởng ghi nhận theo pp vốn chủ,Ảnh hưởng ghi nhận theo pp vốn chủ,Ảnh hưởng ghi nhận theo pp vốn chủ,,,,334.830.980,334.830.980,,,,334830980.0,334830980.0
Giảm khác,Giảm khác,Giảm khác,-,(579.781.457),-,(2.000.000),(581.781.457),,-579781457.0,,-2000000.0,-581781457.0
Tại 31/12/2015,Tại 31/12/2015,Tại 31/12/2015,2.330.904.280.000,124.532.011.543,19.572.915.034,284.794.837.523,2.759.804.044.100,2330904280000.0,124532011543.0,19572915034.0,284794837523.0,2759804044100.0
