row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị VND,Phương tiện vận tải và thiết bị truyền dẫn VND,Thiết bị văn phòng VND,Tài sản cố định khác VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải và thiết bị truyền dẫn VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,3.206.721.428.293,10.237.570.308.748,48.244.249.249,50.824.088.280,58.688.591.244,13.602.048.665.814,3206721428293.0,10237570308748.0,48244249249.0,50824088280.0,58688591244.0,13602048665814.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,123.590.615.088,6.935.094.850,-,-,-,130.525.709.938,123590615088.0,6935094850.0,,,,130525709938.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,9.003.234.501,26.651.444.322,5.278.728.740,5.431.061.169,-,46.364.468.732,9003234501.0,26651444322.0,5278728740.0,5431061169.0,,46364468732.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,3.339.315.277.882,10.271.156.847.920,53.522.977.989,56.255.149.449,58.688.591.244,13.778.938.844.484,3339315277882.0,10271156847920.0,53522977989.0,56255149449.0,58688591244.0,13778938844484.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,1.044.687.880.747,2.767.411.692.019,24.290.704.698,21.855.632.949,15.758.760.121,3.874.004.670.534,1044687880747.0,2767411692019.0,24290704698.0,21855632949.0,15758760121.0,3874004670534.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,293.203.482.564,954.753.523.770,8.465.339.166,9.209.372.014,595.083.310,1.266.226.800.824,293203482564.0,954753523770.0,8465339166.0,9209372014.0,595083310.0,1266226800824.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,1.337.891.363.311,3.722.165.215.789,32.756.043.864,31.065.004.963,16.353.843.431,5.140.231.471.358,1337891363311.0,3722165215789.0,32756043864.0,31065004963.0,16353843431.0,5140231471358.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,2.001.423.914.571,6.548.991.632.131,20.766.934.125,25.190.144.486,42.334.747.813,8.638.707.373.126,2001423914571.0,6548991632131.0,20766934125.0,25190144486.0,42334747813.0,8638707373126.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,2.162.033.547.546,7.470.158.616.729,23.953.544.551,28.968.455.331,42.929.831.123,9.728.043.995.280,2162033547546.0,7470158616729.0,23953544551.0,28968455331.0,42929831123.0,9728043995280.0
