row_label_raw,row_label_full,col_0,Năm nay,Từ ngày 15/01/2015đến ngày 31/12/2015,numeric__Năm nay,numeric__Từ ngày 15/01/2015đến ngày 31/12/2015
,,,VND,VND,,
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Hàng kiểm kê thừa (*),Thu nhập khác > Hàng kiểm kê thừa (*),Hàng kiểm kê thừa (*),23.214.404.415,-,23214404415.0,
Thu tiền bảo hiểm,Thu nhập khác > Thu tiền bảo hiểm,Thu tiền bảo hiểm,-,3.536.640.541,,3536640541.0
Phạt vi phạm hợp đồng,Thu nhập khác > Phạt vi phạm hợp đồng,Phạt vi phạm hợp đồng,407.646.593,1.379.534.904,407646593.0,1379534904.0
Thu nhập khác,Thu nhập khác > Thu nhập khác,Thu nhập khác,2.496.831.018,1.929.465.859,2496831018.0,1929465859.0
,,,26.118.882.026,6.845.641.304,26118882026.0,6845641304.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Chi phí tổn thất hàng hóa,Chi phí khác > Chi phí tổn thất hàng hóa,Chi phí tổn thất hàng hóa,-,3.537.027.135,,3537027135.0
Các khoản phạt thuế,Chi phí khác > Các khoản phạt thuế,Các khoản phạt thuế,-,945.413.470,,945413470.0
Chi phí khác,Chi phí khác > Chi phí khác,Chi phí khác,27.031.577,215.215.405,27031577.0,215215405.0
,,,27.031.577,4.697.656.010,27031577.0,4697656010.0
Lợi nhuận khác,Chi phí khác > Lợi nhuận khác,Lợi nhuận khác,26.091.850.449,2.147.985.294,26091850449.0,2147985294.0
