row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Từ ngày 15/01/2015đến ngày 31/12/2015,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Từ ngày 15/01/2015đến ngày 31/12/2015
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,24,4.951.519.499.734,5.658.347.926.000,1.0,24.0,4951519499734.0,5658347926000.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,24,61.578.260.352,87.468.200.037,2.0,24.0,61578260352.0,87468200037.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,4.889.941.239.382,5.570.879.725.963,10.0,,4889941239382.0,5570879725963.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,25,3.602.739.772.210,3.963.088.038.112,11.0,25.0,3602739772210.0,3963088038112.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,1.287.201.467.172,1.607.791.687.851,20.0,,1287201467172.0,1607791687851.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,27,285.486.655.090,226.287.628.978,21.0,27.0,285486655090.0,226287628978.0
7. Chỉ phí tài chính,7. Chỉ phí tài chính,7. Chỉ phí tài chính,22,28,429.997.146.694,657.236.842.893,22.0,28.0,429997146694.0,657236842893.0
- Trong đó: Chỉ phí lãi vay,- Trong đó: Chỉ phí lãi vay,- Trong đó: Chỉ phí lãi vay,23,,203.937.110.047,229.462.755.159,23.0,,203937110047.0,229462755159.0
8. Chỉ phí bán hàng,8. Chỉ phí bán hàng,8. Chỉ phí bán hàng,25,29,272.069.185.417,273.900.764.527,25.0,29.0,272069185417.0,273900764527.0
9. Chỉ phí quản lý doanh nghiệp,9. Chỉ phí quản lý doanh nghiệp,9. Chỉ phí quản lý doanh nghiệp,26,29,243.948.057.295,196.900.416.250,26.0,29.0,243948057295.0,196900416250.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,626.673.732.856,706.041.293.159,30.0,,626673732856.0,706041293159.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,30,26.118.882.026,6.845.641.304,31.0,30.0,26118882026.0,6845641304.0
12. Chỉ phí khác,12. Chỉ phí khác,12. Chỉ phí khác,32,30,27.031.577,4.697.656.010,32.0,30.0,27031577.0,4697656010.0
13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),40,,26.091.850.449,2.147.985.294,40.0,,26091850449.0,2147985294.0
14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,652.765.583.305,708.189.278.453,50.0,,652765583305.0,708189278453.0
15. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,15. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,15. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,51,31,33.466.934.592,1.344.148.816,51.0,31.0,33466934592.0,1344148816.0
16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),60,,619.298.648.713,706.845.129.637,60.0,,619298648713.0,706845129637.0
17. Lãi cơ bản trên cổ phiếu,17. Lãi cơ bản trên cổ phiếu,17. Lãi cơ bản trên cổ phiếu,70,32,1.011,1.175,70.0,32.0,1011.0,1175.0
