row_label_raw,row_label_full,Cổ đông,Theo Giấy chứng nhận đăng ký kinh doanh,Theo Giấy chứng nhận đăng ký kinh doanh_1,Vốn đã góp tại ngày cuối năm,numeric__Theo Giấy chứng nhận đăng ký kinh doanh,numeric__Theo Giấy chứng nhận đăng ký kinh doanh_1,numeric__Vốn đã góp tại ngày cuối năm
Cổ đông,Cổ đông,Cổ đông,VND,%,VND,,,
Tập đoàn Dầu khí Việt Nam,Cổ đông > Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,4.000.230.570.000,"75,56%",4.000.230.570.000,4000230570000.0,0.7556,4000230570000.0
Các cổ đông khác,Cổ đông > Các cổ đông khác,Các cổ đông khác,1.293.769.430.000,"24,44%",1.293.769.430.000,1293769430000.0,0.2444,1293769430000.0
,,,5.294.000.000.000,100%,5.294.000.000.000,5294000000000.0,1.0,5294000000000.0
