row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi số,Số cuối năm,Số đầu năm > Giá gốc,Số đầu năm > Giá trị ghi số,Số đầu năm,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị ghi số,numeric__Số đầu năm
,,,VND,VND,,VND,VND,,,,,,,
Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,,,,,,,,,,,,
Tiền gửi có kỳ hạn trên 3 tháng,Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn > Tiền gửi có kỳ hạn trên 3 tháng,Tiền gửi có kỳ hạn trên 3 tháng,2.300.000.000.000,2.300.000.000.000,,2.702.555.555.556,2.702.555.555.556,,2300000000000.0,2300000000000.0,,2702555555556.0,2702555555556.0,
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá gốc,Dự phòng,Giá trị hợp lý,Giá gốc,Dự phòng,Giá trị hợp lý,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,,,,,,,,,,,
Công ty Cổ phần Bao bì Dầu khí Việt Nam,Đầu tư vào công ty con > Công ty Cổ phần Bao bì Dầu khí Việt Nam,Công ty Cổ phần Bao bì Dầu khí Việt Nam,20.826.250.000,-,23.741.925.000,16.661.000.000,-,26.490.990.000,20826250000.0,,23741925000.0,16661000000.0,,26490990000.0
,,,Năm nay,Năm nay,Năm nay,Năm trước,Năm trước,Năm trước,,,,,,
,,,Doanh thu,Chi phí,Lợi nhuận sau thuế,Doanh thu,Chi phí,Lợi nhuận sau thuế,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Tình hình hoạt động của Công ty con trong năm,Đầu tư vào công ty con > Tình hình hoạt động của Công ty con trong năm,Tình hình hoạt động của Công ty con trong năm,153.298.850.980,143.970.916.756,9.206.423.335,144.476.510.268,134.566.529.895,8.947.250.575,153298850980.0,143970916756.0,9206423335.0,144476510268.0,134566529895.0,8947250575.0
,,,Bán hàng,Mua hàng hóa,Cổ tức và lợi nhuận được chia,Bán hàng,Mua hàng hóa,Cổ tức và lợi nhuận được chia,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Các giao dịch trọng yếu giữa Công ty và công ty con trong năm,Đầu tư vào công ty con > Các giao dịch trọng yếu giữa Công ty và công ty con trong năm,Các giao dịch trọng yếu giữa Công ty và công ty con trong năm,-,133.069.407.060,4.165.250.000,-,133.116.824.210,3.332.200.000,,133069407060.0,4165250000.0,,133116824210.0,3332200000.0
