row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,numeric__Vốn góp của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối
,,,VND,VND,VND,,,
Số dư đầu kỳ trước,Số dư đầu kỳ trước,Số dư đầu kỳ trước,5.294.000.000.000,286.574.832.277,-,5294000000000.0,286574832277.0,
Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,-,-,706.845.129.637,,,706845129637.0
Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),-,84.821.415.556,(84.821.415.556),,84821415556.0,-84821415556.0
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,(84.821.415.556),,,-84821415556.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,5.294.000.000.000,371.396.247.833,537.202.298.525,5294000000000.0,371396247833.0,537202298525.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,619.298.648.713,,,619298648713.0
Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),-,74.315.837.846,(74.315.837.846),,74315837846.0,-74315837846.0
"Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)",-,-,(83.884.863.773),,,-83884863773.0
Chuyển trả tiền cổ phần hóa,Chuyển trả tiền cổ phần hóa,Chuyển trả tiền cổ phần hóa,-,(286.574.832.277),-,,-286574832277.0,
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,(635.280.000.000),,,-635280000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,5.294.000.000.000,159.137.253.402,363.020.245.619,5294000000000.0,159137253402.0,363020245619.0
