row_label_raw,row_label_full,col_0,Vốn điều lệ,Vốn khác,Quỹ của tổ chức tín dụng,Quỹ của tổ chức tín dụng_1,Quỹ của tổ chức tín dụng_2,Quỹ của tổ chức tín dụng_3,Chênh lệch tỷ giá hối đoái,Chênh lệch đánh giá lại tài sản,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Vốn khác,numeric__Quỹ của tổ chức tín dụng,numeric__Quỹ của tổ chức tín dụng_1,numeric__Quỹ của tổ chức tín dụng_2,numeric__Quỹ của tổ chức tín dụng_3,numeric__Chênh lệch tỷ giá hối đoái,numeric__Chênh lệch đánh giá lại tài sản,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự phòng tài chính,Quỹ đầu tư phát triển,Tổng cộng,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,,
Số dư tại ngày 1/1/2017 (trình bày lại),Số dư tại ngày 1/1/2017 (trình bày lại),Số dư tại ngày 1/1/2017 (trình bày lại),35.977.686,45.160,1.952.746,3.913.260,70.661,5.936.667,84.245,83.285,5.874.992,143.521,48.145.556,35977686.0,45160.0,1952746.0,3913260.0,70661.0,5936667.0,84245.0,83285.0,5874992.0,143521.0,48145556.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,9.091.070,19.518,9.110.588,,,,,,,,,9091070.0,19518.0,9110588.0
Tạm trích các quỹ dự trữ bắt buộc trong năm 2017,Tạm trích các quỹ dự trữ bắt buộc trong năm 2017,Tạm trích các quỹ dự trữ bắt buộc trong năm 2017,-,-,442.458,884.916,-,1.327.374,-,-,(1.327.374),-,-,,,442458.0,884916.0,,1327374.0,,,-1327374.0,,
"Tạm trích quỹ khen thưởng, phúc lợi trong năm 2017","Tạm trích quỹ khen thưởng, phúc lợi trong năm 2017","Tạm trích quỹ khen thưởng, phúc lợi trong năm 2017",-,-,-,-,-,-,-,-,(1.501.302),-,(1.501.302),,,,,,,,,-1501302.0,,-1501302.0
Điều chính trích các quỹ năm 2016 theo Nghị quyết của Đại hội đồng Cổ đông,Điều chính trích các quỹ năm 2016 theo Nghị quyết của Đại hội đồng Cổ đông,Điều chính trích các quỹ năm 2016 theo Nghị quyết của Đại hội đồng Cổ đông,-,-,2,4,-,6,-,-,(224.072),-,(224.066),,,2.0,4.0,,6.0,,,-224072.0,,-224066.0
Trích các quỹ của các công ty con,Trích các quỹ của các công ty con,Trích các quỹ của các công ty con,-,-,8.452,11.888,-,20.340,-,-,(42.596),(449),(22.705),,,8452.0,11888.0,,20340.0,,,-42596.0,-449.0,-22705.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,-,-,-,(8.803),-,(8.803),-,-,-,-,(8.803),,,,-8803.0,,-8803.0,,,,,-8803.0
"Điều chính công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu","Điều chính công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu","Điều chính công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu",-,-,-,-,-,-,-,-,(583),-,(583),,,,,,,,,-583.0,,-583.0
Trả cổ tức trong năm,Trả cổ tức trong năm,Trả cổ tức trong năm,-,-,-,-,-,-,-,-,(2.878.215),(18.727),(2.896.942),,,,,,,,,-2878215.0,-18727.0,-2896942.0
Giám vốn công ty con,Giám vốn công ty con,Giám vốn công ty con,-,-,-,-,-,-,-,-,-,(54.708),(54.708),,,,,,,,,,-54708.0,-54708.0
Tăng vốn công ty con (*),Tăng vốn công ty con (*),Tăng vốn công ty con (*),-,299.085,(21.884),-,-,(21.884),-,-,(277.201),-,-,,299085.0,-21884.0,,,-21884.0,,,-277201.0,,
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,-,10.240,-,-,185,10.425,,,,,,,10240.0,,,185.0,10425.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,(18),-,(18),-,-,533,(16),499,,,,-18.0,,-18.0,,,533.0,-16.0,499.0
Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,35.977.686,344.245,2.381.774,4.801.247,70.661,7.253.682,94.485,83.285,8.715.252,89.324,52.557.959,35977686.0,344245.0,2381774.0,4801247.0,70661.0,7253682.0,94485.0,83285.0,8715252.0,89324.0,52557959.0
