row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,2017Triệu VND,2016Triệu VND(trình bày lại),numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__2017Triệu VND,numeric__2016Triệu VND(trình bày lại)
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
01,01,01,Mua sắm tài sản cố định,,(1.139.976),(1.272.248),,,-1139976.0,-1272248.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",,7.542,7.206,,,7542.0,7206.0
03,03,03,"Tiền chi cho thanh lý, nhượng bán tài sản cố định",,(2.396),(1.762),,,-2396.0,-1762.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,265.688,12.540,,,265688.0,12540.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,129.685,24.549,,,129685.0,24549.0
10,10,10,Tiền thu từ cổ tức đã có quyết định trả cổ tức năm trước,,-,7.123,,,,7123.0
II,II,II,Lưu chuyển tiền thuần từ hoạt động đầu tư,,(739.457),(1.222.592),,,-739457.0,-1222592.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
04,04,04,"Cổ tức đã trả cho cổ đông, lợi nhuận đã chia",,(2.896.942),(2.665.020),,,-2896942.0,-2665020.0
III,III,III,Lưu chuyển tiền thuần từ hoạt động tài chính,,(2.896.942),(2.665.020),,,-2896942.0,-2665020.0
IV,IV,IV,Lưu chuyển tiền thuần trong năm,,147.969.292,(6.847.898),,,147969292.0,-6847898.0
V,V,V,Tiền và các khoản tương đương tiền tại thời điểm đầu năm,36,157.564.955,164.412.853,,36.0,157564955.0,164412853.0
VII,VII,VII,Tiền và các khoản tương đương tiền tại thời điểm cuối năm,36,305.534.247,157.564.955,,36.0,305534247.0,157564955.0
