row_label_raw,row_label_full,col_0,Ngành kinh doanh,Tỷ lệ vốn góp(%),Giá gốcTriệu VND,numeric__Ngành kinh doanh,numeric__Tỷ lệ vốn góp(%),numeric__Giá gốcTriệu VND
Ngân hàng TMCP Xuất – Nhập khẩu,Ngân hàng TMCP Xuất – Nhập khẩu,Ngân hàng TMCP Xuất – Nhập khẩu,Ngân hàng TMCP Xuất – Nhập khẩu,Ngân hàng TMCP Xuất – Nhập khẩu,Ngân hàng TMCP Xuất – Nhập khẩu,,,
Việt Nam,Ngân hàng TMCP Xuất – Nhập khẩu > Việt Nam,Việt Nam,Ngân hàng,"8,19%",582.065,,0.0819,582065.0
Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Xuất – Nhập khẩu > Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng,"6,97%",1.242.989,,0.0697,1242989.0
Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Xuất – Nhập khẩu > Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng,"3,97%",144.802,,0.0397,144802.0
Quỹ bảo lãnh tín dụng các doanh nghiệpvừa và nhỏ,Ngân hàng TMCP Xuất – Nhập khẩu > Quỹ bảo lãnh tín dụng các doanh nghiệpvừa và nhỏ,Quỹ bảo lãnh tín dụng các doanh nghiệpvừa và nhỏ,Bảo lãnh tín dụng,"0,80%",1.864,,0.008,1864.0
Công ty Cổ phần Bảo hiểm Petrolimex,Ngân hàng TMCP Xuất – Nhập khẩu > Công ty Cổ phần Bảo hiểm Petrolimex,Công ty Cổ phần Bảo hiểm Petrolimex,Bảo hiểm,"8,03%",67.900,,0.0803,67900.0
Tổng Công ty Cổ phần Khoan và Dịch vụKhoan dầu khí,Ngân hàng TMCP Xuất – Nhập khẩu > Tổng Công ty Cổ phần Khoan và Dịch vụKhoan dầu khí,Tổng Công ty Cổ phần Khoan và Dịch vụKhoan dầu khí,Dầu khí,"0,21%",5.496,,0.0021,5496.0
Công ty Cổ phần Thông tin tín dụngViệt Nam (PCB),Ngân hàng TMCP Xuất – Nhập khẩu > Công ty Cổ phần Thông tin tín dụngViệt Nam (PCB),Công ty Cổ phần Thông tin tín dụngViệt Nam (PCB),Dịch vụ thông tintín dụng,"6,64%",7.962,,0.0664,7962.0
Công ty Tài chính Cổ phần Xi măng,Ngân hàng TMCP Xuất – Nhập khẩu > Công ty Tài chính Cổ phần Xi măng,Công ty Tài chính Cổ phần Xi măng,Dịch vụ tài chính,"10,91%",70.950,,0.1091,70950.0
Tổng Công ty Phát triển Hạ tầng và Đầu tưTài chính Việt Nam,Ngân hàng TMCP Xuất – Nhập khẩu > Tổng Công ty Phát triển Hạ tầng và Đầu tưTài chính Việt Nam,Tổng Công ty Phát triển Hạ tầng và Đầu tưTài chính Việt Nam,Đầu tư đường cao tốc,"1,97%",75.000,,0.0197,75000.0
Công ty Cổ phần Thanh toán Quốc giaViệt Nam,Ngân hàng TMCP Xuất – Nhập khẩu > Công ty Cổ phần Thanh toán Quốc giaViệt Nam,Công ty Cổ phần Thanh toán Quốc giaViệt Nam,Dịch vụ thẻ,"1,83%",4.400,,0.0183,4400.0
Tổng Công ty Hàng không Việt Nam,Ngân hàng TMCP Xuất – Nhập khẩu > Tổng Công ty Hàng không Việt Nam,Tổng Công ty Hàng không Việt Nam,Hàng không,"1,83%",499.602,,0.0183,499602.0
"SWIFT, MASTER và VISA","Ngân hàng TMCP Xuất – Nhập khẩu > SWIFT, MASTER và VISA","SWIFT, MASTER và VISA","Dịch vụ thẻ, thanh toán",-,2.936,,,2936.0
