row_label_raw,row_label_full,col_0,col_1,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng,numeric__col_1,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng
,,,,Trên3 tháng,Đến 3 tháng,Đến 1 tháng,Từ trên1 tháng đến3 tháng,Từ trên3 tháng đến12 tháng,Từ trên1 năm đến5 năm,Trên 5 năm,Tổng cộng,,,,,,,,,
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
,,,Tài sản,,,,,,,,,,,,,,,,,
I,I,I,"Tiền mặt, vàng bạc, đá quý",-,-,10.102.861,-,-,-,-,10.102.861,,,,10102861.0,,,,,10102861.0
II,II,II,Tiền gửi tại NHNNVN,-,-,93.615.618,-,-,-,-,93.615.618,,,,93615618.0,,,,,93615618.0
III,III,III,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,194.131.417,24.164.184,2.680.525,11.997.277,-,232.973.403,,,,194131417.0,24164184.0,2680525.0,11997277.0,,232973403.0
IV,IV,IV,Chứng khoán kinh doanh – gộp,-,-,9.750.244,-,-,-,-,9.750.244,,,,9750244.0,,,,,9750244.0
V,V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,,-,-,832.354,-,-,-,832.354,,,,,832354.0,,,,832354.0
VI,VI,VI,Cho vay khách hàng – gộp,2.691.053,1.894.798,45.327.702,119.756.136,165.406.550,110.207.307,98.150.914,543.434.460,,2691053.0,1894798.0,45327702.0,119756136.0,165406550.0,110207307.0,98150914.0,543434460.0
VII,VII,VII,Chứng khoán đầu tư – gộp,-,-,2.573.430,988.383,8.875.820,81.269.187,36.385.499,130.092.319,,,,2573430.0,988383.0,8875820.0,81269187.0,36385499.0,130092319.0
VIII,VIII,VIII,"Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,3.577.967,3.577.967,,,,,,,,3577967.0,3577967.0
IX,IX,IX,Tài sản cố định,-,-,-,-,-,-,6.162.361,6.162.361,,,,,,,,6162361.0,6162361.0
X,X,X,Tài sản Có khác – gộp,-,-,-,13.113.164,-,-,-,13.113.164,,,,,13113164.0,,,,13113164.0
,,,Tổng tài sản,2.691.053,1.894.798,355.501.272,158.854.221,176.962.895,203.473.771,144.276.741,1.043.654.751,,2691053.0,1894798.0,355501272.0,158854221.0,176962895.0,203473771.0,144276741.0,1043654751.0
,,,Nợ phải trả,,,,,,,,,,,,,,,,,
I,I,I,Các khoản nợ Chính phủ và NHNNVN,,,,,,,,,,,,,,,,,
,,,vá tiền gửi và vay các TCTD khác,-,-,222.504.598,8.751.684,4.031.038,1.953.730,1.086.221,238.327.271,,,,222504598.0,8751684.0,4031038.0,1953730.0,1086221.0,238327271.0
II,I > II,II,Tiền gửi của khách hàng,-,-,204.482.711,124.412.793,210.522.090,33.359.982,135.742.141,708.519.717,,,,204482711.0,124412793.0,210522090.0,33359982.0,135742141.0,708519717.0
IV,I > IV,IV,"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,153,-,-,1.640,21.360,23.153,,,,153.0,,,1640.0,21360.0,23153.0
V,I > V,V,Phát hành giấy tờ có giá,-,-,2.017,-,-,7.352.100,10.860.387,18.214.504,,,,2017.0,,,7352100.0,10860387.0,18214504.0
VI,I > VI,VI,Các khoản nợ phải trả khác,-,-,-,17.650.679,-,-,-,17.650.679,,,,,17650679.0,,,,17650679.0
,,,Tổng nợ phải trả,-,-,426.989.479,150.815.156,214.553.128,42.667.452,147.710.109,982.735.324,,,,426989479.0,150815156.0,214553128.0,42667452.0,147710109.0,982735324.0
,,,Mức chênh thanh khoản ròng,2.691.053,1.894.798,(71.488.207),8.039.065,(37.590.233),160.806.319,(3.433.368),60.919.427,,2691053.0,1894798.0,-71488207.0,8039065.0,-37590233.0,160806319.0,-3433368.0,60919427.0
