row_label_raw,row_label_full,col_0,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Tổng cộngTriệu VND,numeric__Chưa quá hạn và chưa bị giảm giá Triệu VND,numeric__Đã quá hạn nhưng chưa bị giảm giá Triệu VND,numeric__Đã bị giảm giá và trích lập dự phòng Triệu VND,numeric__Tổng cộngTriệu VND
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,93.615.618,-,-,93.615.618,93615618.0,,,93615618.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,232.973.403,-,-,232.973.403,232973403.0,,,232973403.0
Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,159.043.345,-,-,159.043.345,159043345.0,,,159043345.0
Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,73.930.058,-,-,73.930.058,73930058.0,,,73930058.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,9.304.388,-,-,9.304.388,9304388.0,,,9304388.0
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,530.523.725,1.918.788,10.991.947,543.434.460,530523725.0,1918788.0,10991947.0,543434460.0
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,130.084.129,-,-,130.084.129,130084129.0,,,130084129.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,34.680.108,-,-,34.680.108,34680108.0,,,34680108.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,95.404.021,-,-,95.404.021,95404021.0,,,95404021.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,10.389.978,-,-,10.389.978,10389978.0,,,10389978.0
,,,1.006.891.241,1.918.788,10.991.947,1.019.801.976,1006891241.0,1918788.0,10991947.0,1019801976.0
