row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2017Triệu VND,31/12/2016Triệu VND(trình bày lại),numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2017Triệu VND,numeric__31/12/2016Triệu VND(trình bày lại)
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNNVN,16,171.385.068,54.151.413,,16.0,171385068.0,54151413.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,17,66.942.203,72.238.405,,17.0,66942203.0,72238405.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,55.803.878,53.282.230,,,55803878.0,53282230.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,11.138.325,18.956.175,,,11138325.0,18956175.0
III,B > III,III,Tiền gửi của khách hàng,18,708.519.717,590.451.344,,18.0,708519717.0,590451344.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",19,23.153,-,,19.0,23153.0,
VI,B > VI,VI,Phát hành giấy tờ có giá,20,18.214.504,10.286.376,,20.0,18214504.0,10286376.0
VII,B > VII,VII,Các khoản nợ khác,,17.650.679,12.661.994,,,17650679.0,12661994.0
1,B > 1,1,"Các khoản lãi, phí phải trả",21(a),8.467.337,6.454.174,,,8467337.0,6454174.0
2,B > 2,2,Thuế thu nhập doanh nghiệp hoãn lại phải trả,,20.052,18.461,,,20052.0,18461.0
3,B > 3,3,Các khoản phải trả và công nợ khác,21(b),9.163.290,6.189.359,,,9163290.0,6189359.0
,,,TỔNG NỘ PHẢI TRẢ,,982.735.324,739.789.532,,,982735324.0,739789532.0
VIII,VIII,VIII,Vốn chủ sở hữu,,,,,,,
1,VIII > 1,1,Vốn của tổ chức tín dụng,,36.321.931,36.022.846,,,36321931.0,36022846.0
a,VIII > a,a,Vốn điều lệ,,35.977.686,35.977.686,,,35977686.0,35977686.0
g,VIII > g,g,Vốn khác,,344.245,45.160,,,344245.0,45160.0
2,VIII > 2,2,Quỹ của tổ chức tín dụng,,7.253.682,5.936.667,,,7253682.0,5936667.0
3,VIII > 3,3,Chênh lệch tỷ giá hối đoái,,94.485,84.245,,,94485.0,84245.0
4,VIII > 4,4,Chênh lệch đánh giá lại tài sản,,83.285,83.285,,,83285.0,83285.0
5,VIII > 5,5,Lợi nhuận chưa phân phối,,8.715.252,5.874.992,,,8715252.0,5874992.0
a,VIII > a,a,Lợi nhuận để lại năm trước,,2.476.000,1.204.902,,,2476000.0,1204902.0
b,VIII > b,b,Lợi nhuận để lại năm nay,,6.239.252,4.670.090,,,6239252.0,4670090.0
6,VIII > 6,6,Lợi ích của cổ đông không kiểm soát,,89.324,143.521,,,89324.0,143521.0
,,,TỔNG VỐN CHỦ SỞ HỮU,22(a),52.557.959,48.145.556,,,52557959.0,48145556.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,1.035.293.283,787.935.088,,,1035293283.0,787935088.0
